SupplierTitle,AmazonTitle,EAN,EAN_OnPage,ASIN,SupplierPrice_incVAT,SellingPrice_incVAT,NetProfit,ROI,bought_in_past_month,amazon_sales_badge,sales_value,tier,confidence_score,flags,reasons,ean_exact_match,title_similarity,shared_tokens,prob_estimate,sup_pack,amz_pack,pack_bucket,SupplierURL,AmazonURL,fba_seller_count,Category
AMTECH DRILL MASONRY BIT 15PC SET,Amtech F1758 15 Piece Tungsten masonry drill bit set,5032759041756.0,5032759041756.0,B00OEGS2R4,7.955999999999999,11.85,-1.264999999999999,-17.61838440111419,,,0,TIER_1_A_VERIFIED,100,UNPROFITABLE,"Exact GTIN/EAN match with valid checksum,Posterior match probability=1.000,Char TF-IDF cosine=0.523,Word TF-IDF cosine=0.280,Shared tokens=4,EAN match + pack sizes equal",true,0.565,4,0.9999,15,15,BOTH_EQUAL,https://www.efghousewares.co.uk/amtech-drill-masonry-bit-15pc-set,https://www.amazon.co.uk/dp/B00OEGS2R4,,Other
AMTECH 5W COB USB RECHARGEABLE MINI WORK LIGHT,"Amtech - COB Mini Worklight with Clip for Home DIY, Workshops, and Outdoor Activities, Super Bright with 2 Lighting Modes, 360 Rotation, Cordless and Portable, Rechargeable (5W)",5032759051526.0,5032759051526.0,B0DHY6S35J,5.136,8.99,-0.8583333333333327,-17.77087646652863,,,0,TIER_1_A_VERIFIED,100,UNPROFITABLE,"Exact GTIN/EAN match with valid checksum,Posterior match probability=1.000,Char TF-IDF cosine=0.466,Word TF-IDF cosine=0.175,Shared tokens=5,Measurement closeness=1.000,EAN match, no pack markers in either title (assumed single-unit)",true,0.279,5,1,,,NEITHER,https://www.efghousewares.co.uk/amtech-5w-cob-usb-rechargeable-mini-work-light-119150,https://www.amazon.co.uk/dp/B0DHY6S35J,,Other
AMTECH QUICK RELEASE RATCHET 1/2 INCH,"Amtech I3500 13mm (1/2"") Quick Release Ratchet",5032759002900.0,5032759002900.0,B001URZYV2,8.952,12.78,-1.4399999999999995,-17.977528089887638,,,0,TIER_1_A_VERIFIED,100,UNPROFITABLE,"Exact GTIN/EAN match with valid checksum,Posterior match probability=1.000,Char TF-IDF cosine=0.776,Word TF-IDF cosine=0.699,Shared tokens=6,EAN match, no pack markers in either title (assumed single-unit)",true,0.7,6,1,,,NEITHER,https://www.efghousewares.co.uk/amtech-quick-release-ratchet-1-2-inch,https://www.amazon.co.uk/dp/B001URZYV2,,Other
BEAUTY PRECISION TWEEZER,PRECISION TWEEZER - STAINLESS STEEL - HAIR REMOVAL - BEAUTY CARE BRAND -,5014749180263.0,5014749180263.0,B00GEDLA60,0.672,3.18,-0.1999999999999999,-18.01801801801801,,,0,TIER_1_A_VERIFIED,100,"UNPROFITABLE,BRAND_MISMATCH","Exact GTIN/EAN match with valid checksum,Posterior match probability=1.000,Char TF-IDF cosine=0.674,Word TF-IDF cosine=0.597,Shared tokens=3,EAN match, no pack markers in either title (assumed single-unit)",true,0.354,3,0.9997,,,NEITHER,https://www.efghousewares.co.uk/beauty-precision-tweezer,https://www.amazon.co.uk/dp/B00GEDLA60,,Other
AMTECH 10PC D/ENDED POWER BIT SET,Amtech L2600 10 Piece Double Ended Power bit Set,5032759004188.0,5032759004188.0,B007095KLI,2.064,5.1,-0.4100000000000001,-18.06167400881058,,,0,TIER_1_A_VERIFIED,100,UNPROFITABLE,"Exact GTIN/EAN match with valid checksum,Posterior match probability=1.000,Char TF-IDF cosine=0.646,Word TF-IDF cosine=0.756,Shared tokens=4,EAN match + pack sizes equal",true,0.815,4,1,10,10,BOTH_EQUAL,https://www.efghousewares.co.uk/amtech-10pc-d-ended-power-bit-set,https://www.amazon.co.uk/dp/B007095KLI,,Other
AMTECH CHALK&MINI LEVEL SET 30M(100FT),"Amtech G3760 30m (100ft) Line marker, chalk and mini spirit level set",5032759050796.0,5032759050796.0,B08LL6GP62,3.732,8.12,-0.6633333333333338,-18.12386156648453,,,0,TIER_1_A_VERIFIED,100,UNPROFITABLE,"Exact GTIN/EAN match with valid checksum,Posterior match probability=1.000,Char TF-IDF cosine=0.735,Word TF-IDF cosine=0.735,Shared tokens=6,Measurement closeness=1.000,EAN match, no pack markers in either title (assumed single-unit)",true,0.524,6,1,,,NEITHER,https://www.efghousewares.co.uk/amtech-chalk-mini-level-set-30m-100ft-,https://www.amazon.co.uk/dp/B08LL6GP62,,Other
AMTECH PLIER LOCKING LONG NOSE,"Amtech C1520 165mm (6.5"") Long Nose Locking Pliers",5032759041145.0,,B00LQOJT1A,6.180000000000001,9.99,-1.0337499999999995,-18.1359649122807,,,0,TIER_2_LIKELY,100,"AMAZON_EAN_MISSING,UNPROFITABLE","Supplier GTIN present, Amazon GTIN missing,Posterior match probability=0.996,Char TF-IDF cosine=0.646,Word TF-IDF cosine=0.538,Shared tokens=4",false,0.468,4,0.9955,,,NEITHER,https://www.efghousewares.co.uk/amtech-plier-locking-long-nose,https://www.amazon.co.uk/dp/B00LQOJT1A,,Other
151 SPRAY PAINT 400ML BLACK SATIN,"All Purpose Aerosol Spray Paint 400ml Quick Drying Spray, Fast Dry and Excellent Coverage for Metal, Wood, Plastic and More (1, Black Satin - 151)",5053249241234.0,,B0CJV5XK87,2.352,6.29,-0.4645833333333329,-18.509296148738365,,,0,TIER_3_NEEDS_REVIEW,100,"AMAZON_EAN_MISSING,UNPROFITABLE,BRAND_MISMATCH","Supplier GTIN present, Amazon GTIN missing,Posterior match probability=1.000,Char TF-IDF cosine=0.483,Word TF-IDF cosine=0.346,Shared tokens=6,Measurement closeness=1.000,Demoted T2→T3: brand mismatch on non-EAN match",false,0.347,6,0.9999,,,NEITHER,https://www.efghousewares.co.uk/151-spray-paint-400ml-black-satin-104086,https://www.amazon.co.uk/dp/B0CJV5XK87,,Other
AMTECH D SHACKLE COMBINATION LOCK,Amtech T1875 12mm D Shackle Combination Lock,5032759050895.0,5032759050895.0,B08FC69RL6,8.315999999999999,12.09,-1.394999999999999,-18.64973262032084,,,0,TIER_1_A_VERIFIED,100,UNPROFITABLE,"Exact GTIN/EAN match with valid checksum,Posterior match probability=1.000,Char TF-IDF cosine=0.835,Word TF-IDF cosine=0.910,Shared tokens=5,EAN match, no pack markers in either title (assumed single-unit)",true,0.857,5,1,,,NEITHER,https://www.efghousewares.co.uk/amtech-d-shackle-combination-lock,https://www.amazon.co.uk/dp/B08FC69RL6,,Other
AMTECH SWIVEL CASTOR SET 2in 140KG LOAD,"Amtech S5670 Swivel Castor Set 4 x 2” (50mm), Wheels for Moving Furniture with 140kg Loading Capacity, Non-Marking",5032759050574.0,5032759050574.0,B089ZZH6G7,5.424,10.17,-0.9550000000000004,-18.836291913215,,,0,TIER_1_A_VERIFIED,100,UNPROFITABLE,"Exact GTIN/EAN match with valid checksum,Posterior match probability=1.000,Char TF-IDF cosine=0.530,Word TF-IDF cosine=0.565,Shared tokens=4,Measurement closeness=1.000,EAN match, no pack markers in either title (assumed single-unit)",true,0.527,4,1,,,NEITHER,https://www.efghousewares.co.uk/amtech-swivel-castor-set-2in-140kg-load,https://www.amazon.co.uk/dp/B089ZZH6G7,,Other
SPRING PLANT CLIPS 20PK,Rysons Spring Plant Clips 20 pack,5056239461025.0,5056239461025.0,B0CJ9JZJ1K,1.008,4.99,-0.2654166666666663,-19.094724220623476,,,0,TIER_1_A_VERIFIED,100,"UNPROFITABLE,BRAND_MISMATCH","Exact GTIN/EAN match with valid checksum,Posterior match probability=1.000,Char TF-IDF cosine=0.714,Word TF-IDF cosine=0.834,Shared tokens=3,EAN match + pack sizes equal",true,0.821,3,0.9999,20,20,BOTH_EQUAL,https://www.efghousewares.co.uk/spring-plant-clips-20pk,https://www.amazon.co.uk/dp/B0CJ9JZJ1K,,Other
AMTECH LOCKING GRIP PLIER 5INCH,"Amtech C1300 130mm (5"") Locking Grip plier",5032759000937.0,5032759000937.0,B009DNBIKG,1.944,4.95,-0.4150000000000002,-19.12442396313365,100.0,100.0,100,TIER_1_A_VERIFIED,100,UNPROFITABLE,"Exact GTIN/EAN match with valid checksum,Posterior match probability=1.000,Char TF-IDF cosine=0.642,Word TF-IDF cosine=0.701,Shared tokens=4,EAN match, no pack markers in either title (assumed single-unit)",true,0.714,4,1,,,NEITHER,https://www.efghousewares.co.uk/amtech-locking-grip-plier-5inch,https://www.amazon.co.uk/dp/B009DNBIKG,Available (see Keepa data),Other
AMTECH CUP BRUSH KNOTTED 4INCH,"Amtech F3362 100mm (4"") Twist knot wire cup brush",5032759034840.0,5032759034840.0,B005AFCUP8,4.08,8.86,-0.7566666666666675,-19.15611814345993,,,0,TIER_1_A_VERIFIED,100,UNPROFITABLE,"Exact GTIN/EAN match with valid checksum,Posterior match probability=0.999,Char TF-IDF cosine=0.374,Word TF-IDF cosine=0.236,Shared tokens=3,EAN match, no pack markers in either title (assumed single-unit)",true,0.421,3,0.9992,,,NEITHER,https://www.efghousewares.co.uk/amtech-cup-brush-knotted-4inch,https://www.amazon.co.uk/dp/B005AFCUP8,,Other
AMTECH TUBELESS SACK TRUCK TYRE,Amtech S5660 Polyurethane sack truck tyre (tubeless),5032759044351.0,5032759044351.0,B01LY9TIKH,10.404,15.46,-1.766666666666665,-19.16124367317424,,,0,TIER_1_A_VERIFIED,100,UNPROFITABLE,"Exact GTIN/EAN match with valid checksum,Posterior match probability=1.000,Char TF-IDF cosine=0.715,Word TF-IDF cosine=0.926,Shared tokens=5,EAN match, no pack markers in either title (assumed single-unit)",true,0.617,5,1,,,NEITHER,https://www.efghousewares.co.uk/amtech-tubeless-sack-truck-tyre,https://www.amazon.co.uk/dp/B01LY9TIKH,,Other
AMTECH PLIER WATERPUMP 16 INCH,"Amtech W5300 400mm (16"") Heavy Duty Water Pump Pliers",5032759009640.0,5032759009640.0,B00D2W6Z7A,13.668,18.99,-2.295000000000001,-19.2211055276382,,,0,TIER_1_A_VERIFIED,100,UNPROFITABLE,"Exact GTIN/EAN match with valid checksum,Posterior match probability=0.996,Char TF-IDF cosine=0.461,Word TF-IDF cosine=0.086,Shared tokens=2,EAN match, no pack markers in either title (assumed single-unit)",true,0.5,2,0.9963,,,NEITHER,https://www.efghousewares.co.uk/amtech-plier-waterpump-16-inch,https://www.amazon.co.uk/dp/B00D2W6Z7A,,Other
KINGFISHER FOIL PIE 5 DISHES KCF7,"Kingfisher Foil Pie Dishes, Silver, Large, Pack of 5",5013478557889.0,,B000XJB9Y4,0.972,5.53,-0.2616666666666665,-19.24019607843136,,,0,TIER_2_LIKELY,100,"AMAZON_EAN_MISSING,UNPROFITABLE","Supplier GTIN present, Amazon GTIN missing,Posterior match probability=0.999,Char TF-IDF cosine=0.752,Word TF-IDF cosine=0.721,Shared tokens=5",false,0.707,5,0.999,,5,ONLY_AMZ,https://www.efghousewares.co.uk/kingfisher-foil-pie-5-dishes-kcf7,https://www.amazon.co.uk/dp/B000XJB9Y4,Available (see Keepa data),Other
AMTECH ROTARY CUTTER 5PC BLADES,Amtech S0314 5 Piece Rotary Cutter Blades,5032759047024.0,5032759047024.0,B0751SLT5M,2.4,5.07,-0.4949999999999994,-19.41176470588233,,,0,TIER_1_A_VERIFIED,100,UNPROFITABLE,"Exact GTIN/EAN match with valid checksum,Posterior match probability=1.000,Char TF-IDF cosine=0.758,Word TF-IDF cosine=0.768,Shared tokens=4,EAN match + pack sizes equal",true,0.75,4,1,5,5,BOTH_EQUAL,https://www.efghousewares.co.uk/amtech-rotary-cutter-5pc-blades-101242,https://www.amazon.co.uk/dp/B0751SLT5M,,Other
AMTECH ROLLER SLEEVE LONG PILE 9 X1.5INCH,"Amtech G4435 230mm (9"") x 38mm (1.5"") Roller Sleeve, 18mm Microfibre PIle Roller Sleeve, Long Pile Paint Roller for Rough Paint Surfaces",5032759045303.0,5032759045303.0,B01M5DLACB,1.764,6.06,-0.4000000000000003,-19.80198019801982,,,0,TIER_1_B_AUDIT_OUT,100,UNPROFITABLE,"Exact GTIN/EAN match with valid checksum,Posterior match probability=1.000,Char TF-IDF cosine=0.629,Word TF-IDF cosine=0.672,Shared tokens=6,EAN match, pack visible on one side only (ONLY_SUP)",true,0.402,6,1,1,,ONLY_SUP,https://www.efghousewares.co.uk/amtech-roller-sleeve-long-pile-9-x1-5inch,https://www.amazon.co.uk/dp/B01M5DLACB,,Other
AMTECH BUNGEE CORDS 2PC 36INCH,"Amtech S0650 900mm (36"") Bungee cords (2 pack)",5032759008230.0,5032759008230.0,B006ZMDVUI,2.04,6.1,-0.4466666666666672,-19.85185185185188,,,0,TIER_1_A_VERIFIED,100,UNPROFITABLE,"Exact GTIN/EAN match with valid checksum,Posterior match probability=1.000,Char TF-IDF cosine=0.515,Word TF-IDF cosine=0.373,Shared tokens=3,EAN match + pack sizes equal",true,0.648,3,0.9997,2,2,BOTH_EQUAL,https://www.efghousewares.co.uk/amtech-bungee-cords-2pc-36inch,https://www.amazon.co.uk/dp/B006ZMDVUI,Available (see Keepa data),Other
AMTECH TORCH MINI COB LED 3W,Amtech S1656 3W LED Aluminium mini Torch,5032759047734.0,5032759047734.0,B0784PZ8JG,2.04,5.99,-0.4483333333333323,-19.925925925925885,,,0,TIER_1_A_VERIFIED,100,UNPROFITABLE,"Exact GTIN/EAN match with valid checksum,Posterior match probability=1.000,Char TF-IDF cosine=0.616,Word TF-IDF cosine=0.435,Shared tokens=5,Measurement closeness=1.000,EAN match, no pack markers in either title (assumed single-unit)",true,0.412,5,1,,,NEITHER,https://www.efghousewares.co.uk/amtech-torch-mini-cob-led-3w,https://www.amazon.co.uk/dp/B0784PZ8JG,Available (see Keepa data),Other
ECOBAG GARDEN SACKS GREEN 10 BAG 100 LTR,"100Litre,10 Heavy Duty Garden Sacks Bags-Made from Recycled Waste - EcoBag",5019685012500.0,5019685012500.0,B00HGELN8Q,1.008,5.51,-0.2783333333333336,-20.023980815347745,100.0,100.0,100,TIER_1_A_VERIFIED,100,"UNPROFITABLE,BRAND_MISMATCH","Exact GTIN/EAN match with valid checksum,Posterior match probability=1.000,Char TF-IDF cosine=0.475,Word TF-IDF cosine=0.308,Shared tokens=4,Measurement closeness=1.000,EAN match, no pack markers in either title (assumed single-unit)",true,0.404,4,0.9999,,,NEITHER,https://www.efghousewares.co.uk/ecobag-green-garden-sacks-10-bag-100-ltr-sp-,https://www.amazon.co.uk/dp/B00HGELN8Q,,Other
AMTECH SELF ADHESIVE FELT PAD SET 33PC,Amtech S5335 33 Self-adhesive felt floor protector pads,5032759044795.0,5032759044795.0,B01LWYZUDG,1.872,4.77,-0.4250000000000005,-20.14218009478675,,,0,TIER_1_B_AUDIT_OUT,100,UNPROFITABLE,"Exact GTIN/EAN match with valid checksum,Posterior match probability=1.000,Char TF-IDF cosine=0.447,Word TF-IDF cosine=0.542,Shared tokens=4,EAN match, pack visible on one side only (ONLY_SUP)",true,0.624,4,0.9999,33,,ONLY_SUP,https://www.efghousewares.co.uk/amtech-self-adhesive-felt-pad-set-33pc,https://www.amazon.co.uk/dp/B01LWYZUDG,,Other
AMTECH ORGANISER BOX 15INCH,"Amtech S6460 Storage Box, Screw Box Organiser for Hardware Assortment, 23 Compartments with Removable Dividers",5032759033485.0,5032759033485.0,B005GUQ0XU,7.848,12.83,-1.4383333333333328,-20.286788904560407,100.0,100.0,100,TIER_1_A_VERIFIED,100,UNPROFITABLE,"Exact GTIN/EAN match with valid checksum,Posterior match probability=0.999,Char TF-IDF cosine=0.385,Word TF-IDF cosine=0.448,Shared tokens=3,EAN match, no pack markers in either title (assumed single-unit)",true,0.296,3,0.9993,,,NEITHER,https://www.efghousewares.co.uk/amtech-organiser-box-15inch,https://www.amazon.co.uk/dp/B005GUQ0XU,,Other
AMTECH EXTRA LONG METRIC HEX KET SET 9PC,Amtech I8778 9 Piece Extra-Long Metric hex Key Set,5032759049899.0,5032759049899.0,B07X366XP9,3.912,7.72,-0.7966666666666662,-20.90988626421696,,,0,TIER_1_A_VERIFIED,100,UNPROFITABLE,"Exact GTIN/EAN match with valid checksum,Posterior match probability=1.000,Char TF-IDF cosine=0.553,Word TF-IDF cosine=0.622,Shared tokens=5,EAN match + pack sizes equal",true,0.756,5,1,9,9,BOTH_EQUAL,https://www.efghousewares.co.uk/amtech-extra-long-metric-hex-ket-set-9pc,https://www.amazon.co.uk/dp/B07X366XP9,Available (see Keepa data),Other
AMTECH PAINT BRUSHES 2.5 INCH NO BRISTLE LOSS,"Amtech G4370 3 inch Paint Brush (63mm), No Bristle Loss design, Soft Grip and available as 0.5”, 1”, 1.5”, 2”, 2.5” and 4”",5032759045174.0,,B06XSF56W2,2.304,6.16,-0.5166666666666668,-20.917678812415662,,,0,TIER_2_LIKELY,100,"AMAZON_EAN_MISSING,UNPROFITABLE","Supplier GTIN present, Amazon GTIN missing,Posterior match probability=1.000,Char TF-IDF cosine=0.537,Word TF-IDF cosine=0.349,Shared tokens=8,Measurement closeness=0.833",false,0.458,8,1,,,NEITHER,https://www.efghousewares.co.uk/amtech-paint-brushes-2-5-inch-no-bristle-loss,https://www.amazon.co.uk/dp/B06XSF56W2,,Other
AMTECH DUST MASK 10PC SET,Amtech A3600 10 Piece nuisance dust mask set,5032759007738.0,5032759007738.0,B003XKIGZ0,1.944,5.79,-0.4549999999999998,-20.967741935483865,,,0,TIER_1_A_VERIFIED,100,UNPROFITABLE,"Exact GTIN/EAN match with valid checksum,Posterior match probability=1.000,Char TF-IDF cosine=0.573,Word TF-IDF cosine=0.591,Shared tokens=3,EAN match + pack sizes equal",true,0.58,3,0.9997,10,10,BOTH_EQUAL,https://www.efghousewares.co.uk/amtech-dust-mask-10pc-set,https://www.amazon.co.uk/dp/B003XKIGZ0,,Other
RAPIDE STICKER AND GUM REMOVER 300ML,Sticker Remover Spray Gel Label Residue Adhesive Tape Chewing Gum Tar Cleaner,5055319531689.0,5055319531689.0,B08Z81VGVQ,2.148,6.09,-0.5050000000000001,-21.581196581196583,50.0,50.0,50,TIER_1_A_VERIFIED,100,"UNPROFITABLE,BRAND_MISMATCH","Exact GTIN/EAN match with valid checksum,Posterior match probability=0.999,Char TF-IDF cosine=0.409,Word TF-IDF cosine=0.423,Shared tokens=3,EAN match, no pack markers in either title (assumed single-unit)",true,0.319,3,0.9992,,,NEITHER,https://www.efghousewares.co.uk/rapide-sticker-and-gum-remover-300ml-111652,https://www.amazon.co.uk/dp/B08Z81VGVQ,,Other
AMTECH PLANE MINI 2PC,Amtech E0425 2 Piece Wood Plane Set,5032759024544.0,5032759024544.0,B003B8T91Y,8.352,12.69,-1.635000000000001,-21.770972037283634,,,0,TIER_1_A_VERIFIED,100,UNPROFITABLE,"Exact GTIN/EAN match with valid checksum,Posterior match probability=0.996,Char TF-IDF cosine=0.470,Word TF-IDF cosine=0.431,Shared tokens=2,EAN match + pack sizes equal",true,0.464,2,0.9962,2,2,BOTH_EQUAL,https://www.efghousewares.co.uk/amtech-plane-mini-2pc,https://www.amazon.co.uk/dp/B003B8T91Y,Available (see Keepa data),Other
PPS 2PLY 30 NAPKINS BLUE 40X40CM eta,"30 LUXURY 2 PLY LIGHT BLUE PAPER DINNER NAPKINS - 40cm x 40cm Ideal for weddings, christenings, parties, bbq's etc",5030481990519.0,5030481990519.0,B00VIMRM3C,1.14,5.62,-0.3266666666666662,-21.77777777777775,,,0,TIER_1_A_VERIFIED,100,"UNPROFITABLE,BRAND_MISMATCH","Exact GTIN/EAN match with valid checksum,Posterior match probability=1.000,Char TF-IDF cosine=0.331,Word TF-IDF cosine=0.108,Shared tokens=3,Measurement closeness=1.000,EAN match, no pack markers in either title (assumed single-unit)",true,0.313,3,0.9998,,,NEITHER,https://www.efghousewares.co.uk/pps-2ply-30-napkins-blue-40x40cm-eta,https://www.amazon.co.uk/dp/B00VIMRM3C,,Other
AMTECH BIT HOLDER QUICK RELEASE 2PC,Amtech F0740 2 Piece Quick Release bit Holder Set,5032759021437.0,,B004PPGQAY,2.8920000000000003,6.66,-0.6525000000000001,-22.043918918918923,,,0,TIER_2_LIKELY,100,"AMAZON_EAN_MISSING,UNPROFITABLE","Supplier GTIN present, Amazon GTIN missing,Posterior match probability=1.000,Char TF-IDF cosine=0.772,Word TF-IDF cosine=0.798,Shared tokens=5",false,0.571,5,0.9996,2,2,BOTH_EQUAL,https://www.efghousewares.co.uk/amtech-bit-holder-quick-release-2pc,https://www.amazon.co.uk/dp/B004PPGQAY,,Other
STATUS DIMMABLE LED GLS ES  PEARL W/W 10W 60W,Status 8.5w = 60w = 806 lumens Dimmable LED - GLS - E27 - PA - Pearl - Warm White - 1 pk Box - in White CDU,5022822204409.0,,B07BJZCW8K,2.556,6.35,-0.5920833333333333,-22.09266169154229,,,0,TIER_2_LIKELY,100,"AMAZON_EAN_MISSING,UNPROFITABLE","Supplier GTIN present, Amazon GTIN missing,Posterior match probability=1.000,Char TF-IDF cosine=0.517,Word TF-IDF cosine=0.258,Shared tokens=6,Measurement closeness=1.000",false,0.517,6,0.9999,,1,ONLY_AMZ,https://www.efghousewares.co.uk/status-dimmable-led-gls-es-pearl-w-w-10w-60w,https://www.amazon.co.uk/dp/B07BJZCW8K,,Other
AMTECH HEAVT DUTY PLUNGER LARGE,Amtech S1490 Large Heavy Duty Sink Plunger,5032759010004.0,,B0087P1SGU,4.296,7.94,-0.9158333333333328,-22.17514124293784,,,0,TIER_2_LIKELY,100,"AMAZON_EAN_MISSING,UNPROFITABLE","Supplier GTIN present, Amazon GTIN missing,Posterior match probability=0.997,Char TF-IDF cosine=0.744,Word TF-IDF cosine=0.633,Shared tokens=4",false,0.658,4,0.9974,,,NEITHER,https://www.efghousewares.co.uk/amtech-heavt-duty-plunger-large,https://www.amazon.co.uk/dp/B0087P1SGU,,Other
AMTECH IMPACT DRIVER SET 1/2 INCH 14PC,"Amtech L2130 14 Piece 13mm (1/2"") Drive Impact Driver Set",5032759042555.0,,B00XHT44PI,10.308,13.4,-2.0583333333333327,-22.52005835156819,,,0,TIER_2_LIKELY,100,"AMAZON_EAN_MISSING,UNPROFITABLE","Supplier GTIN present, Amazon GTIN missing,Posterior match probability=0.998,Char TF-IDF cosine=0.639,Word TF-IDF cosine=0.553,Shared tokens=5",false,0.522,5,0.9983,14,14,BOTH_EQUAL,https://www.efghousewares.co.uk/amtech-impact-driver-set-1-2-inch-14pc,https://www.amazon.co.uk/dp/B00XHT44PI,,Other
"AMTECH BRICK TROWEL 280MM(11"") SOFT GRIP","Amtech G0430 280mm (11"") Brick trowel with soft grip",5032759027651.0,,B008PQDUBW,4.056,7.7,-0.8858333333333335,-22.540288379983043,,,0,TIER_2_LIKELY,100,"AMAZON_EAN_MISSING,UNPROFITABLE","Supplier GTIN present, Amazon GTIN missing,Posterior match probability=1.000,Char TF-IDF cosine=0.914,Word TF-IDF cosine=0.707,Shared tokens=7,Measurement closeness=1.000",false,0.69,7,1,,,NEITHER,https://www.efghousewares.co.uk/amtech-brick-trowel-280mm-11-soft-grip-111535,https://www.amazon.co.uk/dp/B008PQDUBW,,Other
AMTECH HOLE SAW 5PC SET,Amtech M1590 5 Piece circular hole saw set,5032759017553.0,5032759017553.0,B00175HA00,2.46,6.3,-0.5900000000000001,-22.692307692307697,,,0,TIER_1_A_VERIFIED,100,UNPROFITABLE,"Exact GTIN/EAN match with valid checksum,Posterior match probability=1.000,Char TF-IDF cosine=0.458,Word TF-IDF cosine=0.411,Shared tokens=3,EAN match + pack sizes equal",true,0.585,3,0.9996,5,5,BOTH_EQUAL,https://www.efghousewares.co.uk/amtech-hole-saw-5pc-set,https://www.amazon.co.uk/dp/B00175HA00,Available (see Keepa data),Other
ESSENTIAL CAKE BOX 10IN,10X10In Cake Box With Lid,5033298009153.0,5033298009153.0,B00BFGKGOI,1.992,4.99,-0.5016666666666656,-22.69984917043736,,,0,TIER_1_A_VERIFIED,100,"UNPROFITABLE,BRAND_MISMATCH","Exact GTIN/EAN match with valid checksum,Posterior match probability=0.997,Char TF-IDF cosine=0.490,Word TF-IDF cosine=0.523,Shared tokens=2,Measurement closeness=1.000,EAN match, no pack markers in either title (assumed single-unit)",true,0.5,2,0.997,,,NEITHER,https://www.efghousewares.co.uk/essential-cake-box-10in,https://www.amazon.co.uk/dp/B00BFGKGOI,,Other
AMTECH STAPLE GUN WITH 500 STAPLES,Amtech B3770 Staple Gun,5032759034093.0,5032759034093.0,B004HKULJY,5.04,8.65,-1.0816666666666663,-22.7719298245614,,,0,TIER_1_A_VERIFIED,100,UNPROFITABLE,"Exact GTIN/EAN match with valid checksum,Posterior match probability=1.000,Char TF-IDF cosine=0.657,Word TF-IDF cosine=0.618,Shared tokens=3,EAN match, no pack markers in either title (assumed single-unit)",true,0.596,3,0.9998,,,NEITHER,https://www.efghousewares.co.uk/amtech-staple-gun,https://www.amazon.co.uk/dp/B004HKULJY,Available (see Keepa data),Other
AMTECH PADLOCK RHOMBIC IRON 40MM,Amtech T0707 40mm Long Shackle Rhombic Chrome Plated Iron Padlock,5032759038671.0,5032759038671.0,B008BQZGIQ,2.112,4.99,-0.5316666666666658,-23.015873015872977,,,0,TIER_1_A_VERIFIED,100,UNPROFITABLE,"Exact GTIN/EAN match with valid checksum,Posterior match probability=1.000,Char TF-IDF cosine=0.677,Word TF-IDF cosine=0.294,Shared tokens=5,Measurement closeness=1.000,EAN match, no pack markers in either title (assumed single-unit)",true,0.515,5,1,,,NEITHER,https://www.efghousewares.co.uk/amtech-padlock-rhombic-iron-40mm,https://www.amazon.co.uk/dp/B008BQZGIQ,,Other
AMTECH CUP BRUSH 3INCH,"Amtech F3200 75mm (3"") Cup brush",5032759002030.0,5032759002030.0,B008CYPZE2,1.44,5.72,-0.4033333333333333,-23.047619047619047,,,0,TIER_1_A_VERIFIED,100,UNPROFITABLE,"Exact GTIN/EAN match with valid checksum,Posterior match probability=1.000,Char TF-IDF cosine=0.482,Word TF-IDF cosine=0.597,Shared tokens=3,EAN match, no pack markers in either title (assumed single-unit)",true,0.627,3,0.9997,,,NEITHER,https://www.efghousewares.co.uk/amtech-cup-brush-3inch,https://www.amazon.co.uk/dp/B008CYPZE2,,Other
AMTECH BOLSTER 4 INCH,"Amtech G2300 100mm (4"") Bolster Chisel",5032759002283.0,5032759002283.0,B004TRTDDU,4.5,9.01,-0.9916666666666664,-23.06201550387597,,,0,TIER_1_A_VERIFIED,100,UNPROFITABLE,"Exact GTIN/EAN match with valid checksum,Posterior match probability=1.000,Char TF-IDF cosine=0.605,Word TF-IDF cosine=0.301,Shared tokens=3,EAN match, no pack markers in either title (assumed single-unit)",true,0.607,3,0.9998,,,NEITHER,https://www.efghousewares.co.uk/amtech-bolster-4-inch,https://www.amazon.co.uk/dp/B004TRTDDU,,Other
APOLLO PAPER SMOOTHIE 20 STRAWS,Apollo Paper Smoothie Straws (Pack of 20),5026180082525.0,5026180082525.0,B00BPMD8G0,0.876,4.79,-0.2970833333333333,-23.209635416666668,,,0,TIER_1_B_AUDIT_OUT,100,UNPROFITABLE,"Exact GTIN/EAN match with valid checksum,Posterior match probability=1.000,Char TF-IDF cosine=0.975,Word TF-IDF cosine=0.741,Shared tokens=5,EAN match, pack visible on one side only (ONLY_AMZ)",true,0.8,5,1,,20,ONLY_AMZ,https://www.efghousewares.co.uk/apollo-paper-smoothie-20-straws,https://www.amazon.co.uk/dp/B00BPMD8G0,,Other
