SupplierTitle,AmazonTitle,EAN,EAN_OnPage,ASIN,SupplierPrice_incVAT,SellingPrice_incVAT,NetProfit,ROI,bought_in_past_month,tier,confidence_score,flags,reasons,ean_exact_match,SupplierURL,AmazonURL,fba_seller_count,Category
PAINT FACTORY COLOUR IT BLU GLOSS SPRAY 250ML,"Beautiful Blue Gloss, 250 ml",5055319572330,5055319572330,B07NJGTVGZ,1.476,4.25,-1.548333333,-86.98501873,50,TIER_2_LIKELY,45,"BRAND_MISMATCH,UNPROFITABLE","Exact EAN match (checksum verified),Weak title match (sim=0.56, shared=1)",TRUE,https://www.efghousewares.co.uk/paint-factory-colour-it-blu-gloss-spray-250ml-111570,https://www.amazon.co.uk/dp/B07NJGTVGZ,,Diy   Tools
NUAGE ALOE VERA SOOTHING GEL 170ML,"NuageAloe Vera Gel, Green, 170 Ml",5020535013226,5020535013226,B0854N5C3W,1.272,3.4,-1.696666667,-105.3830228,50,TIER_2_LIKELY,45,"BRAND_MISMATCH,UNPROFITABLE","Exact EAN match (checksum verified),Weak title match (sim=0.74, shared=2)",TRUE,https://www.efghousewares.co.uk/nuage-aloe-vera-soothing-gel-170ml,https://www.amazon.co.uk/dp/B0854N5C3W,Available (see Keepa data),Bathroom   Cosmetics   Beauty
CAROLINE FOIL 10 DISH & LIDS 16oz,Caroline 10 Foil Trays & Lids 16oz - 1001,5012145000017,5012145000017,B002NPTRNQ,1.104,6.27,-0.235,-15.98639456,,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.73, shared=4),Brand match: caroline",TRUE,https://www.efghousewares.co.uk/caroline-foil-10-dish-lids-16oz-1001,https://www.amazon.co.uk/dp/B002NPTRNQ,,Disposable Tableware
APOLLO PAPER SMOOTHIE 20 STRAWS,Apollo Paper Smoothie Straws (Pack of 20),5026180082525,5026180082525,B00BPMD8G0,0.876,4.79,-0.297083333,-23.20963542,,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.80, shared=4),Brand match: apollo",TRUE,https://www.efghousewares.co.uk/apollo-paper-smoothie-20-straws,https://www.amazon.co.uk/dp/B00BPMD8G0,,Disposable Tableware
PAN AROMA C TEA-LIGHTS 16PK APP&CIN,Pan Aroma 16 Tea Lights Apple & Cinnamon,5053249228174,5053249228174,B083XH692T,1.08,3.7,-0.386666667,-26.66666667,,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.75, shared=4),Brand match: pan",TRUE,https://www.efghousewares.co.uk/pan-aroma-c-tea-lights-16pk-app-cin,https://www.amazon.co.uk/dp/B083XH692T,,Candles Air Fresheners Diffuse
PAN AROMA C TEA-LIGHTS 16PK VANILLA& COCONUT,"Pan Aroma Tea Lights Pack 16 Vanilla and Coconut,8.5*7-10 cm",5053249228150,5053249228150,B07KGGQB4Y,1.08,3.7,-0.396666667,-27.35632184,,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.78, shared=6),Brand match: pan",TRUE,https://www.efghousewares.co.uk/pan-aroma-c-tea-lights-16pk-vanilla-coconut,https://www.amazon.co.uk/dp/B07KGGQB4Y,,Candles Air Fresheners Diffuse
BACOFOIL SAFELOC DOUBLE SEAL FOOD & FREEZER BAGS 15 PACK 3LTR,Bacofoil 15 Double Seal Safeloc Food & Freezer Bags Medium 27x24cm,5023139861316,5023139861316,B07BK15QCN,2.424,5.99,-0.708333333,-27.5616083,,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.69, shared=7),Brand match: bacofoil",TRUE,https://www.efghousewares.co.uk/bacofoil-safeloc-double-seal-food-freezer-bags-15-pack-3ltr-106682,https://www.amazon.co.uk/dp/B07BK15QCN,,Disposable Tableware
KINGFISHER FOIL TRAY SERVING TRAY & LID,"Kingfisher Foil Serving Tray with Foil Lid, Silver, 21-Inch",5013478119957,5013478119957,B00MHP2IVA,2.088,8.07,-0.705,-30.7860262,,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.70, shared=5),Brand match: kingfisher",TRUE,https://www.efghousewares.co.uk/kingfisher-foil-tray-serving-tray-lid-5-12,https://www.amazon.co.uk/dp/B00MHP2IVA,,Disposable Tableware
PAN AROMA C TEA-LIGHTS 16PK FLUFFY TOWEL,Pan Aroma Tea Lights Pack 16 Fluffy Towels,5053249228136,5053249228136,B07KGJCY72,1.08,3.54,-0.51,-35.17241379,,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.86, shared=5),Brand match: pan",TRUE,https://www.efghousewares.co.uk/pan-aroma-c-tea-lights-16pk-fluffy-towel-19-6,https://www.amazon.co.uk/dp/B07KGJCY72,,Candles Air Fresheners Diffuse
BLACKSPUR RATCHET TIE DOWN SET UP,Blackspur - Ratchet Tie Down Straps - 4.5m - Orange,5017403071471,5017403071471,B00GSQM83M,1.344,4.87,-0.721666667,-43.21357285,,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.72, shared=4),Brand match: blackspur",TRUE,https://www.efghousewares.co.uk/blackspur-ratchet-tie-down-set-up,https://www.amazon.co.uk/dp/B00GSQM83M,,Diy   Tools
CAROLINE FOIL 5 DISH & LIDS 60OZ,Caroline 5 Foil Trays & Lids 60oz 1008,5012145004817,5012145004817,B004Z4USKE,2.676,6.56,-1.343333333,-48.32134293,,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.76, shared=4),Brand match: caroline",TRUE,https://www.efghousewares.co.uk/caroline-foil-5-dish-lids-60oz-1008,https://www.amazon.co.uk/dp/B004Z4USKE,,Disposable Tableware
151 STEP & TILE PAINT RED,151 Step & Tile Paint RED 180ML,5050375085794,5050375085794,B0054UB1VS,1.68,5.22,-0.98,-50.25641026,,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.89, shared=5),Brand match: 151",TRUE,https://www.efghousewares.co.uk/151-tin-paint-step-tile-red-16-9,https://www.amazon.co.uk/dp/B0054UB1VS,,Diy   Tools
ESSENTIAL CAKE BOX 08IN,ESSENTIAL CAKE BOX 08IN,5033298009160,5033298009160,B00F4LB6CG,1.812,3.88,-1.106666667,-53.72168285,,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=1.00, shared=4),Brand match: essential",TRUE,https://www.efghousewares.co.uk/essential-cake-box-08in,https://www.amazon.co.uk/dp/B00F4LB6CG,,Disposable Tableware
PAN AROMA PLUG IN AIR FRESHENER LAVENDER & YLANG YLANG,Pan Aroma Plug in Air Freshener Lavender & Ylang,5053249204802,5053249204802,B01LY3XCZE,1.68,4.64,-1.103333333,-56.58119658,,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.94, shared=7),Brand match: pan",TRUE,https://www.efghousewares.co.uk/pan-aroma-plug-in-lavender-ylang-30-7,https://www.amazon.co.uk/dp/B01LY3XCZE,,Candles Air Fresheners Diffuse
FEBREZE AIR FRESHENER ALPINE ESCAPE 185ML PK8,"Febreze Air Freshener Spray, Mrs Hinch's Alpine Escape, 185ml, Pack of 3 with Free Fridge Magnet",8006530079396,8006530079396,B0FTMN2XX3,16.116,9.99,-9.105,-65.12875536,,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.64, shared=6),Brand match: febreze",TRUE,https://www.efghousewares.co.uk/febreze-air-freshener-alpine-escape-185ml-pk8-124821,https://www.amazon.co.uk/dp/B0FTMN2XX3,,Air Fresheners
WEATHER SHEILD WINDOW INSULATION KIT,Weather Shield Window Insulation Kit | 1pc.,5050565478351,5050565478351,B08J7Q7D7K,1.608,2.99,-1.248333333,-66.04938272,,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.91, shared=4),Brand match: weather",TRUE,https://www.efghousewares.co.uk/weather-sheild-window-insulation-kit,https://www.amazon.co.uk/dp/B08J7Q7D7K,,Diy   Tools
151 YACHT VARNISH GLOSS FINISH,151 Yacht Varnish Gloss 180ML,5050375085374,5050375085374,B002WRYO4C,1.68,4.67,-1.318333333,-67.60683761,,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.81, shared=4),Brand match: 151",TRUE,https://www.efghousewares.co.uk/151-tin-varnish-yacht-gloss,https://www.amazon.co.uk/dp/B002WRYO4C,,Diy   Tools
151 WOOD FILLER TUB 600G,151 Multipurpose Wood Filler - Ready Mixed (600g),5013748035321,5013748035321,B0078OC306,1.476,5.09,-1.238333333,-69.56928839,,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.60, shared=4),Brand match: 151",TRUE,https://www.efghousewares.co.uk/151-filler-tub-wood-600gm,https://www.amazon.co.uk/dp/B0078OC306,,Diy   Tools
CAROLINE FOIL TRAY 2 TRAYS 1014,Caroline 2 Large Foil Trays 1014,5012145000055,5012145000055,B0030G211C,2.76,5.41,-2.201666667,-77.25146199,,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.76, shared=4),Brand match: caroline",TRUE,https://www.efghousewares.co.uk/caroline-foil-tray-2-trays-1014,https://www.amazon.co.uk/dp/B0030G211C,,Disposable Tableware
ESCENTI COOL FEET FOOT SOAK SPEARMINT & MENTHOL 450G,Escenti Cool Feet Soothing Spearmint & Menthol Essential Foot Soak,5020535008765,5020535008765,B06XCLN79Q,1.14,3.96,-1.2,-80,,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.71, shared=7),Brand match: escenti",TRUE,https://www.efghousewares.co.uk/escenti-foot-soak-spearmint-450g-each,https://www.amazon.co.uk/dp/B06XCLN79Q,Available (see Keepa data),Bathroom   Cosmetics   Beauty
PAN AROMA TANG & VAN TRIG/SPRAY 250ML,Pan Aroma Tangerine and Vanilla Trigger Spray 250Ml,5053249212593,5053249212593,B01MUXQ9S1,1.344,4.15,-1.341666667,-80.33932136,,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.81, shared=4),Brand match: pan",TRUE,https://www.efghousewares.co.uk/pan-aroma-tang-van-trig/spray-250ml-104002,https://www.amazon.co.uk/dp/B01MUXQ9S1,,Candles Air Fresheners Diffuse
AIRPURE & FRESH TRIGGER SPRAY TRUE ROMANCE 250ML PK12,AIRPURE & FRESH TRIGGER SPRAY TRUE ROMANCE,5060194132890,5060194132890,B0CBZRRZ9V,13.428,5.35,-9.581666667,-81.61555934,,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.88, shared=6),Brand match: airpure",TRUE,https://www.efghousewares.co.uk/airpure-fresh-trigger-spray-true-romance-250ml-pk12-109872,https://www.amazon.co.uk/dp/B0CBZRRZ9V,,Air Fresheners
AIRPURE PLUG-IN MOMENTS UNIT PK12,Airpure Plug in Moments- Electric Plug scented Oil Unit,5060194137765,5060194137765,B07Q2Y1G98,11.004,4.46,-8.983333333,-92.42112483,,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.63, shared=4),Brand match: airpure",TRUE,https://www.efghousewares.co.uk/airpure-plug-moments-unit-pk12,https://www.amazon.co.uk/dp/B07Q2Y1G98,,Air Fresheners
PAN AROMA PLUG IN AIR FRESHENER ORCHARD BLOSSOM,Pan Aroma Plug Air Freshener 20ml Lotus Blossom,5053249204826,5053249204826,B01BWOAZUM,1.68,4.24,-1.806666667,-92.64957265,,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.81, shared=6),Brand match: pan",TRUE,https://www.efghousewares.co.uk/pan-aroma-plug-in-lotus-blossom-25-6,https://www.amazon.co.uk/dp/B01BWOAZUM,,Candles Air Fresheners Diffuse
CAROLINE FOIL 6 DISH & LIDS 23oz 1002,Caroline 6 Foil Trays & Lids 23oz 1002,5012145000048,5012145000048,B002NPRXTQ,1.104,4,-1.386666667,-94.33106576,,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.85, shared=5),Brand match: caroline",TRUE,https://www.efghousewares.co.uk/caroline-foil-6-dish-lids-23oz-1002,https://www.amazon.co.uk/dp/B002NPRXTQ,Available (see Keepa data),Disposable Tableware
151 BATHROOM & KITCHEN ACRYLIC CARTRIDGE WHITE 280ML,151 Cartridge Refills - Bathroom & Kitchen Acrylic - White,5013748090610,5013748090610,B003TLY6JS,1.344,3.83,-1.628333333,-97.50499002,,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.68, shared=6),Brand match: 151",TRUE,https://www.efghousewares.co.uk/151-cartridge-bathroom-kitchen-310-ml-11-6,https://www.amazon.co.uk/dp/B003TLY6JS,,Diy   Tools
151 GLOSS PAINT PILLAR BOX RED 180ML,151 Gloss Paint P/Box RED 180ML,5050375085763,5050375085763,B002W14IT4,1.68,4.41,-1.905,-97.69230769,,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.91, shared=6),Brand match: 151",TRUE,https://www.efghousewares.co.uk/151-tin-paint-pillar-box-red-47616,https://www.amazon.co.uk/dp/B002W14IT4,,Diy   Tools
MARKSMAN PADLOCK 32MM BRASS,Marksman 59120C 32mm Brass Coated Padlock,5038673591209,5038673591209,B006TC7F1A,1.14,4.99,-1.571666667,-104.7777778,,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.62, shared=4),Brand match: marksman",TRUE,https://www.efghousewares.co.uk/marksman-padlock-32mm-brass,https://www.amazon.co.uk/dp/B006TC7F1A,,Diy   Tools
MARKSMAN PADLOCK 20MM BRASS,Marksman - 20mm Brass Padlock - 3 Keys,5038673590042,5038673590042,B002JJEDIU,1.008,3.29,-1.469583333,-105.7254197,,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.63, shared=4),Brand match: marksman",TRUE,https://www.efghousewares.co.uk/marksman-padlock-20mm-brass,https://www.amazon.co.uk/dp/B002JJEDIU,,Diy   Tools
ELYSIUM SPA COLLAGEN WIPES,"Elysium Spa Collagen Daily Wipes, 30 Pack",5020535013509,5020535013509,B09BW1HWBQ,1.14,2.99,-1.908333333,-127.2222222,,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.79, shared=4),Brand match: elysium",TRUE,https://www.efghousewares.co.uk/elysium-spa-collagen-wipes,https://www.amazon.co.uk/dp/B09BW1HWBQ,,Bathroom   Cosmetics   Beauty
MARKSMAN PADLOCK 30MM BRASS,Marksman 59006C 30mm Brass Padlock,5038673590066,5038673590066,B007ZBG3ZI,1.008,4.45,-1.841666667,-132.4940048,,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.69, shared=4),Brand match: marksman",TRUE,https://www.efghousewares.co.uk/marksman-padlock-30mm-brass-01-04,https://www.amazon.co.uk/dp/B007ZBG3ZI,,Diy   Tools
TURBO JET AIR FRESHENER / SANITISER SPRAY LEMON SHERBET 500ML,SOVEREIGN Turbo Jet Air Sanitiser/Air freshener LEMON SHERBET,5060471890116,5060471890116,B089ZV9948,3.024,6.19,-1.591666667,-51.84581976,,TIER_2_LIKELY,75,"BRAND_MISMATCH,UNPROFITABLE","Exact EAN match (checksum verified),Strong title match (sim=0.62, shared=7)",TRUE,https://www.efghousewares.co.uk/turbo-jet-air-500ml-lemon,https://www.amazon.co.uk/dp/B089ZV9948,,Candles Air Fresheners Diffuse
AIRWICK REED DIFFUSER CHERRY BLOSSOM 25ML PK5,"Air Wick Essential Oils Reed Diffuser, Cherry Blossom, 25ml",5011417571200,5011417571200,B07DVXTW9T,13.428,8.99,-7.618333333,-64.89210676,,TIER_2_LIKELY,75,"BRAND_MISMATCH,UNPROFITABLE","Exact EAN match (checksum verified),Strong title match (sim=0.80, shared=5)",TRUE,https://www.efghousewares.co.uk/airwick-reed-diffuser-cherry-blossom-25ml-pk5-124633,https://www.amazon.co.uk/dp/B07DVXTW9T,Available (see Keepa data),Air Fresheners
AIRWICK REED DIFFUSER SPRING DELIGHT 25ML PK5,"Air Wick Reed Deffuser Spring Delight, 25ml",5011417571217,5011417571217,B07FGHS2H1,13.428,8.54,-7.953333333,-67.74559909,,TIER_2_LIKELY,75,"BRAND_MISMATCH,UNPROFITABLE","Exact EAN match (checksum verified),Strong title match (sim=0.92, shared=4)",TRUE,https://www.efghousewares.co.uk/airwick-reed-diffuser-spring-delight-25ml-pk5-125670,https://www.amazon.co.uk/dp/B07FGHS2H1,,Air Fresheners
FELT FLOOR PROTECTORS 24PC,24pc Felt Floor Protectors,5056338324559,5056338324559,B08WX7HXTK,1.008,2.75,-0.978333333,-70.38369305,,TIER_2_LIKELY,75,"BRAND_MISMATCH,UNPROFITABLE","Exact EAN match (checksum verified),Strong title match (sim=0.81, shared=4)",TRUE,https://www.efghousewares.co.uk/felt-floor-protectors-24pc,https://www.amazon.co.uk/dp/B08WX7HXTK,,Diy   Tools
TURBO JET AIR FRESHENER / SANITISER SPRAY RADA 500ML,SOVEREIGN TURBOJET AIR SANITISER RADA 500ml CAN,5060471890291,5060471890291,B08X1FYR45,3.024,5.4,-2.2,-71.66123779,,TIER_2_LIKELY,75,"BRAND_MISMATCH,UNPROFITABLE","Exact EAN match (checksum verified),Strong title match (sim=0.67, shared=4)",TRUE,https://www.efghousewares.co.uk/turbo-jet-air-500ml-rada,https://www.amazon.co.uk/dp/B08X1FYR45,,Candles Air Fresheners Diffuse
AIRWICK PLUG REFILL SMOOTH SATIN & MOON LILY 19ML PK6,"Air Wick Plug In Refill Air Freshener Smooth Satin and Moon Lily, 17ml",5011417556948,5011417556948,B010VH2K86,12.756,6.95,-8.368333333,-74.85092427,,TIER_2_LIKELY,75,"BRAND_MISMATCH,UNPROFITABLE","Exact EAN match (checksum verified),Strong title match (sim=0.78, shared=6)",TRUE,https://www.efghousewares.co.uk/airwick-plug-refill-smooth-satin-moon-lily-19ml-pk6-122489,https://www.amazon.co.uk/dp/B010VH2K86,,Air Fresheners
151 MULTIPURPOSE ACRYLIC SEALANT CARTRIDGE WHITE 280 ML,SEALANT - MULTI-PURPOSE WHITE ACRYLIC SEALANT FLEXI 310ML CARTRIDGE,5013748005676,5013748005676,B001A2T5SU,1.344,4.18,-1.376666667,-82.43512974,,TIER_2_LIKELY,75,"BRAND_MISMATCH,UNPROFITABLE","Exact EAN match (checksum verified),Strong title match (sim=0.65, shared=4)",TRUE,https://www.efghousewares.co.uk/151-cartridge-m-p-acrylic-sealant-310-ml,https://www.amazon.co.uk/dp/B001A2T5SU,,Diy   Tools
AIRWICK BOTANICA SPRAY ODOUR NEUTRALISER FRESH SPRING OASIS 236ML PK8,Air Wick Odour Neutralising Air Freshener Spray |Fresh Spring Oasis |Pack of 1|237 ml,5059001017161,5059001017161,B0CL52S26F,14.1,5.9,-10.53083333,-85.61653117,,TIER_2_LIKELY,75,"BRAND_MISMATCH,UNPROFITABLE","Exact EAN match (checksum verified),Strong title match (sim=0.65, shared=5)",TRUE,https://www.efghousewares.co.uk/airwick-botanica-spray-odour-neutraliser-fresh-spring-oasis-236ml-pk8-120404,https://www.amazon.co.uk/dp/B0CL52S26F,,Air Fresheners
AIRWICK FRESHMATIC REFILL SPRING DELIGHT 250ML PK4,Air Wick Freshmatic Max Refill Pure Spring Delight 250ml,5011417567043,5011417567043,B07N1Z7C24,10.068,3.48,-9.12,-102.0134228,,TIER_2_LIKELY,75,"BRAND_MISMATCH,UNPROFITABLE","Exact EAN match (checksum verified),Strong title match (sim=0.87, shared=5)",TRUE,https://www.efghousewares.co.uk/airwick-freshmatic-refill-spring-delight-250ml-pk4-125006,https://www.amazon.co.uk/dp/B07N1Z7C24,,Air Fresheners
ASHLEY WARDROBE DEHUMIDIFIER BAG  LAVENDER,Ashley 1x Lavender Hanging Wardrobe Dehumidifier - Home Bedroom Cupboard Anti-Mould Damp Moisture Condensation Absorber Trap Bags,5017403134145,5017403134145,B0CTTKNBVS,1.008,5.27,-0.067083333,-4.826139089,,TIER_2_LIKELY,70,UNPROFITABLE,"Exact EAN match (checksum verified),Moderate title match (sim=0.38, shared=4),Brand match: ashley",TRUE,https://www.efghousewares.co.uk/ashley-wardrobe-dehumidifier-bag-lavender-109441,https://www.amazon.co.uk/dp/B0CTTKNBVS,,Candles Air Fresheners Diffuse
KINGFISHER DEHUMIDIFIER WARDROBE,Kingfisher Wardrobe Dehumidifier,5013478150721,5013478150721,B0130TCK6Y,1.14,4.92,-0.21,-14,,TIER_2_LIKELY,70,UNPROFITABLE,"Exact EAN match (checksum verified),Moderate title match (sim=0.72, shared=3),Brand match: kingfisher",TRUE,https://www.efghousewares.co.uk/kingfisher-dehumidifier-wardrobe,https://www.amazon.co.uk/dp/B0130TCK6Y,,Candles Air Fresheners Diffuse
CAROLINE FOIL 4 DISH & LIDS 30OZ,Caroline Foil Tray+Lid 30oz,5012145004800,5012145004800,B0030G2004,1.104,6.07,-0.371666667,-25.28344671,,TIER_2_LIKELY,70,UNPROFITABLE,"Exact EAN match (checksum verified),Moderate title match (sim=0.77, shared=3),Brand match: caroline",TRUE,https://www.efghousewares.co.uk/caroline-foil-4-dish-lids-30oz-1004,https://www.amazon.co.uk/dp/B0030G2004,,Disposable Tableware
BLACKSPUR SAFETY GLASSES,Blackspur BB-SG104 CE Approved Safety Glasses,5017403036616,5017403036616,B005EXKRFG,1.008,5.5,-0.376666667,-27.09832134,,TIER_2_LIKELY,70,UNPROFITABLE,"Exact EAN match (checksum verified),Moderate title match (sim=0.71, shared=3),Brand match: blackspur",TRUE,https://www.efghousewares.co.uk/blackspur-safety-glasses,https://www.amazon.co.uk/dp/B005EXKRFG,Available (see Keepa data),Diy   Tools
151 ULTRA GLUE PACK OF 3,"151 Ultra Glue, Extra Strong Household Adhesive, 9 x 3g Tubes",5050375050235,5050375050235,B0F74LWJSS,1.14,3.6,-0.43,-28.66666667,,TIER_2_LIKELY,70,UNPROFITABLE,"Exact EAN match (checksum verified),Moderate title match (sim=0.48, shared=3),Brand match: 151",TRUE,https://www.efghousewares.co.uk/151-glue-ultra-3pk,https://www.amazon.co.uk/dp/B0F74LWJSS,,Diy   Tools
PAN AROMA AIR FRESHENER REFILL FREN VAN,Pan Aroma A/F Refill-250Ml Vanilla,5050375124226,5050375124226,B072KNQBSR,1.08,3.83,-0.438333333,-30.22988506,,TIER_2_LIKELY,70,UNPROFITABLE,"Exact EAN match (checksum verified),Moderate title match (sim=0.65, shared=3),Brand match: pan",TRUE,https://www.efghousewares.co.uk/pan-aroma-air-freshener-refill-fren-van-10-11,https://www.amazon.co.uk/dp/B072KNQBSR,,Candles Air Fresheners Diffuse
FEBREZE 3VOL REFILL VANILLA COOKIE 20ML PK6,"Febreze Plug-in Air Freshener Refills, Vanilla & Magnolia Spring Edition, 20ml, Pack of 3",4015600958527,4015600958527,B0F3FNCHSW,17.46,16.99,-5.475416667,-36.26103753,,TIER_2_LIKELY,70,UNPROFITABLE,"Exact EAN match (checksum verified),Moderate title match (sim=0.55, shared=3),Brand match: febreze",TRUE,https://www.efghousewares.co.uk/febreze-3vol-refill-vanilla-cookie-20ml-pk6-122296,https://www.amazon.co.uk/dp/B0F3FNCHSW,,Air Fresheners
CARPRIDE WASH & WAX 1L,"Carpride Ultimate Car Wash & Wax, Professional Finish, 1L Concentrated Formula",5013748062501,5013748062501,B0040RG4LI,1.14,5.73,-0.625,-41.66666667,,TIER_2_LIKELY,70,UNPROFITABLE,"Exact EAN match (checksum verified),Moderate title match (sim=0.44, shared=3),Brand match: carpride",TRUE,https://www.efghousewares.co.uk/carpride-wash-wax-1l-103890,https://www.amazon.co.uk/dp/B0040RG4LI,,Diy   Tools
DUZZIT FRIDGE FRESHENER LEMON PK12,Duzzit 6 x Fridge Freshener Fresh Lemon Scented Fridge Deodoriser removed odours balls,5050375092815,5050375092815,B07K1FL9VK,10.74,9.98,-4.633333333,-48.77192982,,TIER_2_LIKELY,70,UNPROFITABLE,"Exact EAN match (checksum verified),Moderate title match (sim=0.50, shared=4),Brand match: duzzit",TRUE,https://www.efghousewares.co.uk/duzzit-fridge-freshener-lemon-pk12,https://www.amazon.co.uk/dp/B07K1FL9VK,Available (see Keepa data),Air Fresheners
LITTLE TREES CAR FRESHENER CITY STYLE,Little Trees Air Freshener Tree MTR0077 City Style Fragrance For Car Home Boat Caravan - Single Pack,7612720201662,7612720201662,B079D34WRJ,0.936,3.25,-0.671666667,-50.50125313,,TIER_2_LIKELY,70,UNPROFITABLE,"Exact EAN match (checksum verified),Moderate title match (sim=0.53, shared=6),Brand match: little",TRUE,https://www.efghousewares.co.uk/little-trees-car-freshener-city-style-116768,https://www.amazon.co.uk/dp/B079D34WRJ,,Air Fresheners
LITTLE TREES CAR FRESHENER CELEBRATE,Little Trees Air Freshener Tree MTR0085 Celebrate Fragrance For Car Home Boat Caravan - Single Pack,7612720208074,7612720208074,B08M9ZTG8P,0.936,3.1,-0.676666667,-50.87719298,,TIER_2_LIKELY,70,UNPROFITABLE,"Exact EAN match (checksum verified),Moderate title match (sim=0.52, shared=5),Brand match: little",TRUE,https://www.efghousewares.co.uk/little-trees-car-freshener-celebrate-116772,https://www.amazon.co.uk/dp/B08M9ZTG8P,,Air Fresheners
PAINT FACTORY METTALIC  EFFECT BLACK 200ML,"Paint Factory Black Metallic Paint, 200 ml",5055319598170,5055319598170,B07NJGBSPR,1.476,5.02,-0.996666667,-55.99250936,,TIER_2_LIKELY,70,UNPROFITABLE,"Exact EAN match (checksum verified),Moderate title match (sim=0.60, shared=3),Brand match: paint",TRUE,https://www.efghousewares.co.uk/paint-factory-mettalic-effect-black-200ml-111551,https://www.amazon.co.uk/dp/B07NJGBSPR,,Diy   Tools
151  GRIP TAPE PEEL STICK ANTI-SLIP 4M,"151 Anti Slip Tape, 4 Metre Roll",5053249003061,5053249003061,B00JVPV7AW,1.14,3.34,-0.846666667,-56.44444444,,TIER_2_LIKELY,70,UNPROFITABLE,"Exact EAN match (checksum verified),Moderate title match (sim=0.50, shared=4),Brand match: 151",TRUE,https://www.efghousewares.co.uk/151-tape-anti-slip-grip,https://www.amazon.co.uk/dp/B00JVPV7AW,Available (see Keepa data),Diy   Tools
BLACKSPUR CABLE CLIPS 80PC BOTH,Blackspur BB-CT116 Cable Clips Set,5017403056515,5017403056515,B004V43YOK,1.008,2.99,-0.958333333,-68.94484412,,TIER_2_LIKELY,70,UNPROFITABLE,"Exact EAN match (checksum verified),Moderate title match (sim=0.72, shared=3),Brand match: blackspur",TRUE,https://www.efghousewares.co.uk/blackspur-cable-clips-80pc-both,https://www.amazon.co.uk/dp/B004V43YOK,,Diy   Tools
151 HARD AS NAILS SUPERGLUE 20G,151 Hard As Nails Adhesive Super Glue,5050375046863,5050375046863,B004LGLNGE,1.344,2.85,-1.165,-69.76047904,,TIER_2_LIKELY,70,UNPROFITABLE,"Exact EAN match (checksum verified),Moderate title match (sim=0.79, shared=3),Brand match: 151",TRUE,https://www.efghousewares.co.uk/151-glue-hard-as-nails-superglue,https://www.amazon.co.uk/dp/B004LGLNGE,,Diy   Tools
