supplier_product_title,amazon_target_title,match_type,tier,ean_status,ean,ean_on_page,asin,sales_value,net_profit,roi,selling_price,supplier_price_ex_vat,supplier_price_inc_vat,fba_fee,referral_fee,fba_seller_count,fbm_seller_count,total_offer_count,bucket,inclusion_reason,rationale,confidence,validation_required,priority,match_similarity,match_verification_result,supplier_url,amazon_url
MARKSMAN SHED AND FENCE PAINT,"Marksman Shed & Fence Paint Brush, Synthetic Hair, Brown Handle, L",EAN,T1,Confirmed,5038673640327.0,5038673640327.0,B0897TP2HL,,2.961666666666667,213.0695443645084,9.95,0.84,1.008,2.65,1.29,,Available (see Keepa data),2.0,B,Decent profit margin (GBP2.96); Very high ROI (213%); Low FBA competition (0 sellers); Low source cost (GBP0.84) vs Amazon price (GBP9.95),"EAN-verified product with positive profit. Zero sales may reflect data timing, new listing, or seasonal dormancy.",high,No,HIGH,0.56,Exact EAN match (title sim=0.56),https://www.efghousewares.co.uk/marksman-shed-and-fence-paint,https://www.amazon.co.uk/dp/B0897TP2HL
AMTECH DRIVE METRIC SOCKET SET 1/4 INCH 12PC,"Amtech I0351 Socket Set ¼”, 12pc Chrome Vanadium Steel Metric Wrench Kit, 45 Tooth Ratchet Pack with Quick Release",EAN,T1,Confirmed,5032759050499.0,5032759050499.0,B089WKMFBB,,2.830000000000001,30.430107526881727,21.12,8.75,10.5,2.72,2.75,,Available (see Keepa data),2.0,B,Decent profit margin (GBP2.83); Low FBA competition (0 sellers),"EAN-verified product with positive profit. Zero sales may reflect data timing, new listing, or seasonal dormancy.",high,No,HIGH,0.39,Exact EAN match (title sim=0.39),https://www.efghousewares.co.uk/amtech-drive-metric-socket-set-1-4-inch-12pc,https://www.amazon.co.uk/dp/B089WKMFBB
FLORAL ROOM SPRAY TRIGGER 250ML MAGNOLIA,3x Floral Fragranced Room Spray - 3 Scents to Choose From - 250ml (Magnolia),Title,T2,Not matched,5061031650553.0,,B0DGV4Q4JY,,2.7320833333333336,172.91666666666669,9.49,1.03,1.236,2.41,1.18625,,Available (see Keepa data),4.0,B,Decent profit margin (GBP2.73); Very high ROI (173%); Low FBA competition (0 sellers); Low source cost (GBP1.03) vs Amazon price (GBP9.49),Likely match with meaningful profit and supporting signals. Zero sales may reflect stale data or low visibility.,medium,Yes,HIGH,0.64,High title similarity (0.64) - category uncertain,https://www.efghousewares.co.uk/floral-room-spray-trigger-250ml-magnolia-118777,https://www.amazon.co.uk/dp/B0DGV4Q4JY
PRISTINE GLEAM POWER THOOTHBRUSH HEADS UNIVERSAL PACK OF 2,Universal Electric Replacement Toothbrush Heads Dental Source Whitening Polishes Teeth Naturally Remove Surface Stains Power Battery Compatible Brush,EAN,T1,Confirmed,5056175904686.0,5056175904686.0,B07MMD35Q5,,2.6483333333333343,190.52757793765,8.89,0.84,1.008,2.65,0.72,,Available (see Keepa data),2.0,B,Decent profit margin (GBP2.65); Very high ROI (191%); Low FBA competition (0 sellers); High-demand category (cleaning); Low source cost (GBP0.84) vs Amazon price (GBP8.89),"EAN-verified product with positive profit. Zero sales may reflect data timing, new listing, or seasonal dormancy.",high,No,HIGH,0.27,Exact EAN match (title sim=0.27),https://www.efghousewares.co.uk/pristine-gleam-power-thoothbrush-heads-universal-pack-of-2-125054,https://www.amazon.co.uk/dp/B07MMD35Q5
151 PAINT SPRAY 400ML CLEAR LACQUER,3 x Clear Lacquer Spray Paint,EAN,T1,Confirmed,5053249215280.0,5053249215280.0,B07CDV9CZ8,,2.6308333333333342,104.81407702523244,10.66,1.96,2.352,2.41,1.3325000000000002,,Available (see Keepa data),4.0,B,Decent profit margin (GBP2.63); Very high ROI (105%); Low FBA competition (0 sellers); Low source cost (GBP1.96) vs Amazon price (GBP10.66),"EAN-verified product with positive profit. Zero sales may reflect data timing, new listing, or seasonal dormancy.",high,No,HIGH,0.47,Exact EAN match (title sim=0.47),https://www.efghousewares.co.uk/151-paint-spray-400ml-clear-lacquer-104065,https://www.amazon.co.uk/dp/B07CDV9CZ8
GLAMOUR CONNECTION LOOFAH WITH ROPE,Exfoliating Loofah Puff Back Scrubber Strap Bath Shower Body Sponge Brush Clean (Black),EAN,T1,Confirmed,5025572268363.0,5025572268363.0,B091Z4BPX1,,2.625000000000001,188.8489208633094,7.35,0.84,1.008,1.52,0.59,,Available (see Keepa data),1.0,B,Decent profit margin (GBP2.63); Very high ROI (189%); Low FBA competition (0 sellers); Low source cost (GBP0.84) vs Amazon price (GBP7.35),"EAN-verified product with positive profit. Zero sales may reflect data timing, new listing, or seasonal dormancy.",high,No,HIGH,0.33,Exact EAN match (title sim=0.33),https://www.efghousewares.co.uk/glamour-connection-loofah-with-rope,https://www.amazon.co.uk/dp/B091Z4BPX1
AMTECH THERMAL WORK GLOVES LARGE,"Amtech N2376 Thermal Work Gloves Large (Size 9), Certified Quality for Heavy Duty Tasks, Hi-Vis Yellow",EAN,T1,Confirmed,5032759049455.0,5032759049455.0,B07QRP7V6V,,2.59,121.5962441314554,8.52,1.58,1.896,1.7,0.68,,Available (see Keepa data),2.0,B,Decent profit margin (GBP2.59); Very high ROI (122%); Low FBA competition (0 sellers); Low source cost (GBP1.58) vs Amazon price (GBP8.52),"EAN-verified product with positive profit. Zero sales may reflect data timing, new listing, or seasonal dormancy.",high,No,HIGH,0.49,Exact EAN match (title sim=0.49),https://www.efghousewares.co.uk/amtech-thermal-work-gloves-large,https://www.amazon.co.uk/dp/B07QRP7V6V
FLORAL DEHUMIDIFIER GARDENIA,3x Floral Dehumidifier & Condensation Remover - Gardenia - 500ml,Title,T2,Not matched,5061031651192.0,,B0D8JBGXSG,,2.537916666666667,178.72652582159628,8.99,0.87,1.044,2.41,1.12375,,Available (see Keepa data),2.0,B,Decent profit margin (GBP2.54); Very high ROI (179%); Low FBA competition (0 sellers); Low source cost (GBP0.87) vs Amazon price (GBP8.99),Likely match with meaningful profit and supporting signals. Zero sales may reflect stale data or low visibility.,medium-high,Yes,HIGH,0.65,High title similarity (0.65) with category match,https://www.efghousewares.co.uk/floral-dehumidifier-gardenia-118781,https://www.amazon.co.uk/dp/B0D8JBGXSG
AMTECH PROFILING TOOL SMALL 1/2INCH,"Amtech G1850 Leaf and Square Profiling Tool, Stainless Steel, Triangular and Square Blades, Plasterers Trowel, Small Tool, Double-Ended",EAN,T1,Confirmed,5032759010509.0,5032759010509.0,B0076MAF28,,2.5116666666666667,71.76190476190476,11.99,2.95,3.54,2.42,1.56,Available (see Keepa data),,1.0,B,Decent profit margin (GBP2.51); Good ROI (72%); Low FBA competition (0 sellers),"EAN-verified product with positive profit. Zero sales may reflect data timing, new listing, or seasonal dormancy.",high,No,HIGH,0.36,Exact EAN match (title sim=0.36),https://www.efghousewares.co.uk/amtech-profiling-tool-small-1-2inch,https://www.amazon.co.uk/dp/B0076MAF28
AMTECH DRILL TITANIUM 19PC SET,Amtech F1140 19 Piece titanium coated drill bit set,EAN,T1,Confirmed,5032759018857.0,5032759018857.0,B004C1RQLO,,2.405,30.793854033290657,17.97,7.26,8.712,2.42,2.34,,Available (see Keepa data),2.0,B,Decent profit margin (GBP2.40); Low FBA competition (0 sellers),"EAN-verified product with positive profit. Zero sales may reflect data timing, new listing, or seasonal dormancy.",high,No,HIGH,0.57,Exact EAN match (title sim=0.57),https://www.efghousewares.co.uk/amtech-drill-titanium-19pc-set,https://www.amazon.co.uk/dp/B004C1RQLO
AMTECH HEAVYDUTY BYPASS PRUNER,Amtech U0355 Bypass secateurs,EAN,T1,Confirmed,5032759047017.0,5032759047017.0,B0B528KSL4,,2.385,65.34246575342465,10.65,3.1,3.72,1.46,1.38,,Available (see Keepa data),2.0,B,Decent profit margin (GBP2.38); Good ROI (65%); Low FBA competition (0 sellers),"EAN-verified product with positive profit. Zero sales may reflect data timing, new listing, or seasonal dormancy.",high,No,HIGH,0.58,Exact EAN match (title sim=0.58),https://www.efghousewares.co.uk/amtech-heavyduty-bypass-pruner,https://www.amazon.co.uk/dp/B0B528KSL4
KINGFISHER DEHUMIDIFIER WARDROBE SCENT,Kingfisher Assorted Scented Wardrobe Hanging Dehumidifier Moisture Absorber (Pack of 3),EAN,T1,Confirmed,5013478161147.0,5013478161147.0,B093HJSVZZ,,2.368333333333334,157.88888888888894,9.49,0.95,1.14,2.59,1.45,,Available (see Keepa data),1.0,B,Decent profit margin (GBP2.37); Very high ROI (158%); Low FBA competition (0 sellers); Low source cost (GBP0.95) vs Amazon price (GBP9.49),"EAN-verified product with positive profit. Zero sales may reflect data timing, new listing, or seasonal dormancy.",high,No,HIGH,0.49,Exact EAN match (title sim=0.49),https://www.efghousewares.co.uk/kingfisher-dehumidifier-wardrobe-scent-3-10,https://www.amazon.co.uk/dp/B093HJSVZZ
STATUS DIMMABLE LED RND SES PEARL W/W5.5W 40W,Status 5.5w = 40w = 470 lumens Dimmable LED - Round - E14 - PA - Pearl - Warm White - 1 pk Box - in White CDU,Title,T2,Not matched,5022822195721.0,,B07BJZWGSP,,2.319166666666668,99.10968660968666,9.98,1.79,2.148,2.41,1.2475000000000005,,,,B,Decent profit margin (GBP2.32); Good ROI (99%); Low FBA competition (0 sellers); Low source cost (GBP1.79) vs Amazon price (GBP9.98),Likely match with meaningful profit and supporting signals. Zero sales may reflect stale data or low visibility.,medium-high,Yes,HIGH,0.56,High title similarity (0.56) with category match,https://www.efghousewares.co.uk/status-dimmable-led-rnd-ses-pearl-w-w5-5w-40w,https://www.amazon.co.uk/dp/B07BJZWGSP
STATUS LED CANDLE BC PA PEARL W/WHT 1PK BOX,Status 7.5w = 60w = 806 lumens LED - Candle - B22 - PA - Pearl - Warm White - 1 pk Box - in White CDU,Title,T2,Not matched,5022822203150.0,,B07MFYKC2L,,2.27,107.07547169811318,9.6,1.57,1.884,2.41,1.2,,,,B,Decent profit margin (GBP2.27); Very high ROI (107%); Low FBA competition (0 sellers); High-demand category (candles); Low source cost (GBP1.57) vs Amazon price (GBP9.60),Likely match with meaningful profit and supporting signals. Zero sales may reflect stale data or low visibility.,medium-high,Yes,HIGH,0.67,High title similarity (0.67) with category match,https://www.efghousewares.co.uk/status-led-candle-bc-pa-pearl-w-wht-1pk-box,https://www.amazon.co.uk/dp/B07MFYKC2L
PAN AROMA JAR CANDLE 85GM RED BERRY,"PAN AROMA® RED Decorative Holder & Scented Candle, RED Berry, 85g",EAN,T1,Confirmed,5053249248295.0,5053249248295.0,B09KCMWXQX,,2.2616666666666667,155.97701149425285,8.45,0.9,1.08,2.65,0.68,,Available (see Keepa data),3.0,B,Decent profit margin (GBP2.26); Very high ROI (156%); Low FBA competition (0 sellers); High-demand category (kitchen/candles); Low source cost (GBP0.90) vs Amazon price (GBP8.45),"EAN-verified product with positive profit. Zero sales may reflect data timing, new listing, or seasonal dormancy.",high,No,HIGH,0.61,Exact EAN match (title sim=0.61),https://www.efghousewares.co.uk/pan-aroma-jar-candle-85gm-red-berry,https://www.amazon.co.uk/dp/B09KCMWXQX
AMTECH JIGSAW ALUMINIUM BLADE 5PC SET,Amtech M1618 5 Piece aluminium jigsaw blade set (AMT127D),EAN,T1,Confirmed,5032759047376.0,5032759047376.0,B0734KR6JR,,2.245000000000001,68.23708206686932,9.99,2.74,3.2880000000000003,1.49,1.3,,,2.0,B,Decent profit margin (GBP2.25); Good ROI (68%); Low FBA competition (0 sellers),"EAN-verified product with positive profit. Zero sales may reflect data timing, new listing, or seasonal dormancy.",high,No,HIGH,0.61,Exact EAN match (title sim=0.61),https://www.efghousewares.co.uk/amtech-jigsaw-aluminium-blade-5pc-set,https://www.amazon.co.uk/dp/B0734KR6JR
PPS PLASTIC DRINK HALF PINT 20 GLASSES,20 x 1/2 PINT PLASTIC TUMBLERS - half pint disposable quality beer glasses,EAN,T1,Confirmed,5030481960192.0,5030481960192.0,B00QU13LJU,,2.116666666666667,180.91168091168095,8.72,0.62,0.744,2.67,1.31,,Available (see Keepa data),2.0,B,Decent profit margin (GBP2.12); Very high ROI (181%); Low FBA competition (0 sellers); Low source cost (GBP0.62) vs Amazon price (GBP8.72),"EAN-verified product with positive profit. Zero sales may reflect data timing, new listing, or seasonal dormancy.",high,No,HIGH,0.55,Exact EAN match (title sim=0.55),https://www.efghousewares.co.uk/pps-plastic-drink-1-2-pint-20-glasses,https://www.amazon.co.uk/dp/B00QU13LJU
AMTECH SCREWDRIVER 6PC SET,Amtech L1190 6Piece Screwdriver Set,EAN,T1,Confirmed,5032759032051.0,5032759032051.0,B008PQ9AEI,,2.1133333333333324,44.21199442119942,13.24,4.23,5.0760000000000005,2.42,1.72,,Available (see Keepa data),1.0,B,Decent profit margin (GBP2.11); Low FBA competition (0 sellers),"EAN-verified product with positive profit. Zero sales may reflect data timing, new listing, or seasonal dormancy.",high,No,HIGH,0.72,Exact EAN match (title sim=0.72),https://www.efghousewares.co.uk/amtech-screwdriver-6pc-set-84070,https://www.amazon.co.uk/dp/B008PQ9AEI
KINGFISHER FOIL 9 DISH & LID  KCF1,"Kingfisher Foil Food Container and Lid, Silver, Medium, Pack of 9",EAN,T1,Confirmed,5013478557827.0,5013478557827.0,B01M02ORHX,,2.085,147.8723404255319,8.19,0.86,1.032,2.67,0.66,,Available (see Keepa data),1.0,B,Decent profit margin (GBP2.08); Very high ROI (148%); Low FBA competition (0 sellers); High-demand category (food_wrap); Low source cost (GBP0.86) vs Amazon price (GBP8.19),"EAN-verified product with positive profit. Zero sales may reflect data timing, new listing, or seasonal dormancy.",high,No,HIGH,0.54,Exact EAN match (title sim=0.54),https://www.efghousewares.co.uk/kingfisher-foil-9-dish-lid-kcf1-3850,https://www.amazon.co.uk/dp/B01M02ORHX
PPS PLASTIC 2 TABLECLOTHS RED,2 X RED PLASTIC TABLE COVERS - 137cm x 137cm high quality wipeable table cloths FREE DELIVERY by Party & Paper Solutions,EAN,T1,Confirmed,5030481943034.0,5030481943034.0,B00PSNQJG8,,2.079583333333334,177.74216524216527,7.99,0.62,0.744,2.41,0.99875,,Available (see Keepa data),1.0,B,Decent profit margin (GBP2.08); Very high ROI (178%); Low FBA competition (0 sellers); High-demand category (cleaning); Low source cost (GBP0.62) vs Amazon price (GBP7.99),"EAN-verified product with positive profit. Zero sales may reflect data timing, new listing, or seasonal dormancy.",high,No,HIGH,0.34,Exact EAN match (title sim=0.34),https://www.efghousewares.co.uk/pps-plastic-2-tablecloths-red,https://www.amazon.co.uk/dp/B00PSNQJG8
AMTECH PADLOCK SECURITY 70MM,Amtech T0735 70mm Security Padlock,EAN,T1,Confirmed,5032759041602.0,5032759041602.0,B00XHT4X90,,2.070000000000001,44.70842332613393,12.96,4.08,4.896,2.42,1.68,,Available (see Keepa data),3.0,B,Decent profit margin (GBP2.07); Low FBA competition (0 sellers),"EAN-verified product with positive profit. Zero sales may reflect data timing, new listing, or seasonal dormancy.",high,No,HIGH,0.55,Exact EAN match (title sim=0.55),https://www.efghousewares.co.uk/amtech-padlock-security-70mm,https://www.amazon.co.uk/dp/B00XHT4X90
PAN AROMA CANDLE 2PK VAN/COCOWILD BERRY,6 x Scented Candles,EAN,T1,Confirmed,5050375106796.0,5050375106796.0,B0791L5BFH,,2.012083333333333,138.76436781609192,8.29,0.9,1.08,2.41,1.03625,,Available (see Keepa data),1.0,B,Decent profit margin (GBP2.01); Very high ROI (139%); Low FBA competition (0 sellers); High-demand category (kitchen/candles); Low source cost (GBP0.90) vs Amazon price (GBP8.29),"EAN-verified product with positive profit. Zero sales may reflect data timing, new listing, or seasonal dormancy.",high,No,HIGH,0.28,Exact EAN match (title sim=0.28),https://www.efghousewares.co.uk/pan-aroma-candle-2pk-van-cocowild-berry,https://www.amazon.co.uk/dp/B0791L5BFH
ESSENTIAL BAKING PAPER 50M,450mm x 50m Roll Kitchen Catering Baking Parchment Tray Tin Lining Paper Cooking,EAN,T1,Confirmed,5033298005186.0,5033298005186.0,B00AP54WXG,,2.007916666666669,28.48108747044921,16.19,6.5,7.8,2.41,2.02375,,Available (see Keepa data),1.0,B,Decent profit margin (GBP2.01); Low FBA competition (0 sellers),"EAN-verified product with positive profit. Zero sales may reflect data timing, new listing, or seasonal dormancy.",high,No,HIGH,0.34,Exact EAN match (title sim=0.34),https://www.efghousewares.co.uk/essential-baking-paper-50m,https://www.amazon.co.uk/dp/B00AP54WXG
PAN AROMA LILY & JASMINE TRIG/SPRAY 250ML,Lilly & Jasmine Air Freshener Home Fragrance …,EAN,T1,Confirmed,5053249212630.0,5053249212630.0,B01MV08PBU,,1.9766666666666663,118.36327345309378,8.42,1.12,1.344,2.7,0.67,,Available (see Keepa data),1.0,B,Marginal profit (GBP1.98); Very high ROI (118%); Low FBA competition (0 sellers); High-demand category (kitchen); Low source cost (GBP1.12) vs Amazon price (GBP8.42),"EAN-verified product with positive profit. Zero sales may reflect data timing, new listing, or seasonal dormancy.",high,No,HIGH,0.44,Exact EAN match (title sim=0.44),https://www.efghousewares.co.uk/pan-aroma-lily-jasmine-trig/spray-250ml-104004,https://www.amazon.co.uk/dp/B01MV08PBU
MAXIM 10W G4 WARM WHITE PK2,Status Maxim LED G4 Warm White Light Bulb 1.5/15W (Pack of 2),Title,T2,Not matched,5022822207073.0,,B09CDK47WR,,1.9470833333333335,74.31615776081426,9.85,2.07,2.484,2.41,1.23125,,,,B,Marginal profit (GBP1.95); Good ROI (74%); Low FBA competition (0 sellers),Likely match with meaningful profit and supporting signals. Zero sales may reflect stale data or low visibility.,medium,Yes,MEDIUM,0.56,High title similarity (0.56) - category uncertain,https://www.efghousewares.co.uk/maxim-10w-g4-warm-white-pk2,https://www.amazon.co.uk/dp/B09CDK47WR
PAN AROMA GEL AIR FRESHENER,GEL FRESH AIR FRESHENER,EAN,T1,Confirmed,5053249009308.0,5053249009308.0,B075FWC62K,,1.9183333333333343,132.2988505747127,7.99,0.9,1.08,2.65,0.64,,Available (see Keepa data),2.0,B,Marginal profit (GBP1.92); Very high ROI (132%); Low FBA competition (0 sellers); High-demand category (kitchen/candles); Low source cost (GBP0.90) vs Amazon price (GBP7.99),"EAN-verified product with positive profit. Zero sales may reflect data timing, new listing, or seasonal dormancy.",high,No,HIGH,0.68,Exact EAN match (title sim=0.68),https://www.efghousewares.co.uk/pan-aroma-gel-air-freshener,https://www.amazon.co.uk/dp/B075FWC62K
MAXIM GLS 60W ES WARM WHITE PK10,"Maxim LED GLS Edison Screw (ES) Bulbs, E27, 10 W, Warm White (60MLGESWW5X10)",Title,T2,Not matched,5022822201583.0,,B076PYHHFX,,1.879166666666667,22.39769566944776,17.9,7.84,9.408,2.41,2.2375,,,,B,Marginal profit (GBP1.88); Low FBA competition (0 sellers),Likely match with meaningful profit and supporting signals. Zero sales may reflect stale data or low visibility.,medium,Yes,MEDIUM,0.55,High title similarity (0.55) - category uncertain,https://www.efghousewares.co.uk/maxim-gls-60w-es-warm-white-pk10,https://www.amazon.co.uk/dp/B076PYHHFX
BLACKSPUR POLY DUST SHEET HEAVY DUTY 4M X 5M,Blackspur Polythene Dust Sheet 4m x 5m x 0.0075mm (128g) Clear Recyclable 1 Sheet,EAN,T1,Confirmed,5017403092506.0,5017403092506.0,B07RVN969Y,,1.865,134.1726618705036,6.99,0.84,1.008,1.7,0.87,,Available (see Keepa data),3.0,B,Marginal profit (GBP1.86); Very high ROI (134%); Low FBA competition (0 sellers); Low source cost (GBP0.84) vs Amazon price (GBP6.99),"EAN-verified product with positive profit. Zero sales may reflect data timing, new listing, or seasonal dormancy.",high,No,HIGH,0.54,Exact EAN match (title sim=0.54),https://www.efghousewares.co.uk/blackspur-dust-sheet-up-,https://www.amazon.co.uk/dp/B07RVN969Y
DRI AIRE DEHUMIDIFIER MEDIUM HI GRADE COMPLETE WITH 2 X 500G REFILL BAGS,"Dri Aire Medium Hi Grade Dehumidifier Complete With 2 × 500g Refill Bags For Fast, Power-Free Moisture Absorption And Damp Protection In Small Enclosed Spaces",EAN,T1,Confirmed,5055441468570.0,5055441468570.0,B0G2MJ38W7,,1.861666666666667,29.22553636839352,14.99,5.82,6.984,3.06,1.2,,,2.0,B,Marginal profit (GBP1.86); Low FBA competition (0 sellers),"EAN-verified product with positive profit. Zero sales may reflect data timing, new listing, or seasonal dormancy.",high,No,HIGH,0.50,Exact EAN match (title sim=0.50),https://www.efghousewares.co.uk/dri-aire-dehumidifier-medium-hi-grade-complete-with-2-x-500g-refill-bags-126447,https://www.amazon.co.uk/dp/B0G2MJ38W7
PROFESSIONAL AIR DUSTER,SKYTE® 3 X 200ML AIR CAN Duster Spray Can Cleaner Clean & Protects Laptop Keyboard Electronics,EAN,T1,Confirmed,5056239409119.0,5056239409119.0,B08LDPVCBM,,1.8595833333333336,133.78297362110314,7.99,0.84,1.008,2.41,0.99875,,Available (see Keepa data),2.0,B,Marginal profit (GBP1.86); Very high ROI (134%); Low FBA competition (0 sellers); High-demand category (cleaning); Low source cost (GBP0.84) vs Amazon price (GBP7.99),"EAN-verified product with positive profit. Zero sales may reflect data timing, new listing, or seasonal dormancy.",high,No,HIGH,0.23,Exact EAN match (title sim=0.23),https://www.efghousewares.co.uk/professional-air-duster-119761,https://www.amazon.co.uk/dp/B08LDPVCBM
MAXIM 25W CANDLE BC COOL WHITE PK10,"Maxim LED Candle Bayonet Cap (Cool White) - 3watt (25watt) (Pack 10), 25MLCBCCW5X10",Title,T2,Not matched,5022822202092.0,,B076PWX7M8,,1.830833333333335,27.28514654744166,15.46,6.16,7.392,2.41,1.9325,,,,B,Marginal profit (GBP1.83); Low FBA competition (0 sellers); High-demand category (candles),Likely match with meaningful profit and supporting signals. Zero sales may reflect stale data or low visibility.,medium-high,Yes,MEDIUM,0.59,High title similarity (0.59) with category match,https://www.efghousewares.co.uk/maxim-25w-candle-bc-cool-white-pk10,https://www.amazon.co.uk/dp/B076PWX7M8
BEAUTY FOAM HAIR ROLLERS PACK OF 6,36pcs 2.5cm Colorful Soft Sponge Hair Roller Foam Hair Styling Curler Sleeping Hair DIY Curling Tool - By Beauty Care,EAN,T1,Confirmed,5014749165628.0,5014749165628.0,B01MS8RPRE,,1.8029166666666672,129.70623501199043,7.91,0.84,1.008,2.41,0.98875,,Available (see Keepa data),2.0,B,Marginal profit (GBP1.80); Very high ROI (130%); Low FBA competition (0 sellers); High-demand category (personal_care); Low source cost (GBP0.84) vs Amazon price (GBP7.91),"EAN-verified product with positive profit. Zero sales may reflect data timing, new listing, or seasonal dormancy.",high,No,HIGH,0.28,Exact EAN match (title sim=0.28),https://www.efghousewares.co.uk/beauty-foam-hair-rollers-6pk,https://www.amazon.co.uk/dp/B01MS8RPRE
PAN AROMA CANDLE COLOUR GLASS MEDITERRANEAN ORCHARD,Pan Aroma Scented Glass Jar Candle Mediterranean Orchard Pack of 1,Title,T2,Not matched,5053249268767.0,,B0DFK5WSZP,,1.7995833333333338,124.10919540229884,7.99,0.9,1.08,2.41,0.99875,,Available (see Keepa data),1.0,B,Marginal profit (GBP1.80); Very high ROI (124%); Low FBA competition (0 sellers); High-demand category (kitchen/candles); Low source cost (GBP0.90) vs Amazon price (GBP7.99),Likely match with meaningful profit and supporting signals. Zero sales may reflect stale data or low visibility.,medium-high,Yes,HIGH,0.65,High title similarity (0.65) with category match,https://www.efghousewares.co.uk/pan-aroma-colour-glass-candle-mediterranean-orchard-111217,https://www.amazon.co.uk/dp/B0DFK5WSZP
MARKSMAN 3PCE PAINT BRUSH SET,"MARKSMAN Pack of 3 Piece Paint Brush Set Painting Decoration DIY 1"" 1.5"" 2""",EAN,T1,Confirmed,5038673641515.0,5038673641515.0,B088F47LCB,,1.78875,128.68705035971223,7.89,0.84,1.008,2.41,0.98625,,Available (see Keepa data),1.0,B,Marginal profit (GBP1.79); Very high ROI (129%); Low FBA competition (0 sellers); High-demand category (cleaning); Low source cost (GBP0.84) vs Amazon price (GBP7.89),"EAN-verified product with positive profit. Zero sales may reflect data timing, new listing, or seasonal dormancy.",high,No,HIGH,0.57,Exact EAN match (title sim=0.57),https://www.efghousewares.co.uk/marksman-3pce-paint-brush-set,https://www.amazon.co.uk/dp/B088F47LCB
151 PAINT SPRAY 400ML BLUE,3 x Blue Spray Paint,EAN,T1,Confirmed,5053249219783.0,5053249219783.0,B07C991XMX,,1.7666666666666664,70.38512616201858,9.44,1.96,2.352,2.41,1.18,,Available (see Keepa data),4.0,B,Marginal profit (GBP1.77); Good ROI (70%); Low FBA competition (0 sellers); Low source cost (GBP1.96) vs Amazon price (GBP9.44),"EAN-verified product with positive profit. Zero sales may reflect data timing, new listing, or seasonal dormancy.",high,No,HIGH,0.35,Exact EAN match (title sim=0.35),https://www.efghousewares.co.uk/151-paint-spray-400ml-blue-104082,https://www.amazon.co.uk/dp/B07C991XMX
SIL SINGLE CANDLE STICK,Simple Clear Glass Single Dinner Candle Stick Holder h6cm,Title,T2,Not matched,5024418486497.0,5055596823903.0,B00P6WR70S,,1.74,133.84615384615384,7.62,0.75,0.9,2.7,0.61,,Available (see Keepa data),1.0,B,Marginal profit (GBP1.74); Very high ROI (134%); Low FBA competition (0 sellers); High-demand category (candles); Low source cost (GBP0.75) vs Amazon price (GBP7.62),Likely match with meaningful profit and supporting signals. Zero sales may reflect stale data or low visibility.,medium-high,Yes,HIGH,0.57,High title similarity (0.57) with category match,https://www.efghousewares.co.uk/sil-single-candle-stick-126897,https://www.amazon.co.uk/dp/B00P6WR70S
SAAO EPOXY PUTTY MULTI-USE,SAAO Waterproof Epoxy Putty Stick for Metals Ceramics Pipework Sealer Filler,EAN,T1,Confirmed,5055319529426.0,5055319529426.0,B08XPT693H,,1.7354166666666664,115.69444444444444,7.97,0.95,1.14,2.41,0.99625,,Available (see Keepa data),1.0,B,Marginal profit (GBP1.74); Very high ROI (116%); Low FBA competition (0 sellers); Low source cost (GBP0.95) vs Amazon price (GBP7.97),"EAN-verified product with positive profit. Zero sales may reflect data timing, new listing, or seasonal dormancy.",high,No,HIGH,0.43,Exact EAN match (title sim=0.43),https://www.efghousewares.co.uk/saao-epoxy-putty-multi-use-111562,https://www.amazon.co.uk/dp/B08XPT693H
BEAUTY EXFOLIATING FACE SPONGE,"Octopus Shape Facial Cleansing Brush, Small Silicone Facial Cleanser Exfoliating Scrubber, Face Washing Brush Deep Pore Cleaning for Skin Care（3 Pack)",EAN,T1,Confirmed,5014749181765.0,5014749181765.0,B0BDGLSGVP,,1.7250000000000008,124.10071942446048,7.65,0.84,1.008,2.65,0.61,,Available (see Keepa data),1.0,B,Marginal profit (GBP1.73); Very high ROI (124%); Low FBA competition (0 sellers); High-demand category (cleaning); Low source cost (GBP0.84) vs Amazon price (GBP7.65),"EAN-verified product with positive profit. Zero sales may reflect data timing, new listing, or seasonal dormancy.",high,No,HIGH,0.31,Exact EAN match (title sim=0.31),https://www.efghousewares.co.uk/beauty-exfoliating-face-sponge,https://www.amazon.co.uk/dp/B0BDGLSGVP
PAN AROMA DIFFUSER DOME 50ML VANILLA & COCO,Pan Aroma Dome Reed Diffuser Vanilla Coconut,EAN,T1,Confirmed,5053249217390.0,5053249217390.0,B07BVDY3LT,,1.7000000000000004,101.79640718562877,6.78,1.12,1.344,1.73,0.55,,,4.0,B,Marginal profit (GBP1.70); Very high ROI (102%); Low FBA competition (0 sellers); High-demand category (kitchen); Low source cost (GBP1.12) vs Amazon price (GBP6.78),"EAN-verified product with positive profit. Zero sales may reflect data timing, new listing, or seasonal dormancy.",high,No,HIGH,0.73,Exact EAN match (title sim=0.73),https://www.efghousewares.co.uk/pan-aroma-diffuser-dome-50ml-vanilla-coco,https://www.amazon.co.uk/dp/B07BVDY3LT
