supplier_product_title,amazon_target_title,match_type,tier,ean_status,ean,ean_on_page,asin,sales_value,net_profit,roi,selling_price,supplier_price_ex_vat,supplier_price_inc_vat,fba_fee,referral_fee,fba_seller_count,fbm_seller_count,total_offer_count,bucket,inclusion_reason,rationale,confidence,validation_required,priority,match_similarity,match_verification_result,supplier_url,amazon_url
AIR FRESHENER TRILOGY 3 COTTEN INSPIRATION,"Febreze 3Volution Plug In Air Freshener Starter Kit + 4 Refills, (20mlx4), Odour Fighter",Title,T3,Not matched,5056239450500.0,8001090946966.0,B07L5BS94K,400.0,11.338333333333331,755.8888888888887,22.99,0.95,1.14,3.14,3.18,Available (see Keepa data),Available (see Keepa data),11.0,A,Proven demand: Sales > 0 and Profit > 0,Product has demonstrated sales and positive profit margin.,medium-low,Yes,HIGH,0.37,Moderate similarity (0.37) + category match,https://www.efghousewares.co.uk/air-freshener-trilogy-3-cotten-inspiration-105691,https://www.amazon.co.uk/dp/B07L5BS94K
PPS PLASTIC CUTLERY WHITE 100 TEASPOONS,"Teaspoons, Funnydin 36 Pieces Tea Spoons Set, 5.9 Inch, Spoons Cutlery for Tea, Coffee, Cake, Dessert & Salad, Dishwasher Safe, Cutlery Starter Spoons, Dessert Spoon, Tea Spoon for Restaurant",Title,T3,Not matched,50304811950079.0,,B0B3R35FLR,400.0,5.618333333333333,460.51912568306,13.99,0.67,0.804,2.72,2.1,Available (see Keepa data),,1.0,A,Proven demand: Sales > 0 and Profit > 0,Product has demonstrated sales and positive profit margin.,low,Yes,HIGH,0.26,Low similarity (0.26) but category match - re-check candidate,https://www.efghousewares.co.uk/pps-plastic-cutlery-white-100-teaspoons,https://www.amazon.co.uk/dp/B0B3R35FLR
SIL CANDLE 2 HOUR BURN BUDDHA 11x9CM,2 x Prices Ivory Altar Candle 250mm X 80mm 125 Hours Burn Time,Title,T3,Not matched,5024418382560.0,,B00PH2Z7FO,400.0,5.479166666666667,394.1846522781775,13.1,0.84,1.008,2.41,1.6375,,,,A,Proven demand: Sales > 0 and Profit > 0,Product has demonstrated sales and positive profit margin.,medium-low,Yes,HIGH,0.49,Moderate similarity (0.49) + category match,https://www.efghousewares.co.uk/sil-candle-2-hour-burn-buddha-11x9cm-126782,https://www.amazon.co.uk/dp/B00PH2Z7FO
AIR FRESHENER GEL BEADS 150GRM,"Glade Solid Gel Air Freshener, Odour Eliminator for Home & Bathroom, Relaxing Zen, Pack of 8 (8 x 150g)",Title,T3,Not matched,5056170319188.0,5000204539769.0,B0132UMMK0,400.0,4.161666666666666,299.40047961630694,11.99,0.84,1.008,3.48,0.96,Available (see Keepa data),Available (see Keepa data),15.0,A,Proven demand: Sales > 0 and Profit > 0,Product has demonstrated sales and positive profit margin.,medium-low,Yes,HIGH,0.40,Moderate similarity (0.40) + category match,https://www.efghousewares.co.uk/air-freshener-gel-beads-150grm,https://www.amazon.co.uk/dp/B0132UMMK0
SACHETS AIR FRESHENER GEL OCEAN FRESH PK12,"Glade Solid Gel Air Freshener, Odour Eliminator for Home & Bathroom, Clean Linen, Pack of 8 (8 x 150g)",Title,T3,Not matched,5018063840360.0,5000204123081.0,B084V7Z77B,400.0,1.171666666666668,27.96340493237871,11.75,3.64,4.368,3.48,0.95,Available (see Keepa data),,21.0,A,Proven demand: Sales > 0 and Profit > 0,Product has demonstrated sales and positive profit margin.,medium-low,Yes,MEDIUM,0.45,Moderate similarity (0.45) + category match,https://www.efghousewares.co.uk/sachets-air-freshener-gel-ocean-fresh-pk12,https://www.amazon.co.uk/dp/B084V7Z77B
BLACKSPUR UTILITY KNIFE BLADES PK10 BOTH,Blue Spot Tools 29194 100 PCE Utility Blades in Dispenser,Title,T3,Not matched,5017403123026.0,5028734291940.0,B001ILS3MW,400.0,1.0466666666666673,117.60299625468171,6.2,0.34,0.408,2.42,0.81,Available (see Keepa data),,2.0,A,Proven demand: Sales > 0 and Profit > 0,Product has demonstrated sales and positive profit margin.,medium-low,Yes,MEDIUM,0.43,Moderate similarity (0.43) + category match,https://www.efghousewares.co.uk/blackspur-utility-knife-blades-pk10-both-20-7,https://www.amazon.co.uk/dp/B001ILS3MW
CARRIERS BAGS CHEETAH PK100,"100 White Plastic Carrier Bags – Vest-Style with Handles for Groceries, Boutique Markets & Takeaways 13 x 19 x 23 Inch (Large)",EAN,T1,Not matched,5022458005678.0,,B003TT5WMU,400.0,0.8550000000000009,37.33624454148475,9.99,1.74,2.088,3.68,1.5,Available (see Keepa data),,1.0,A,Proven demand: Sales > 0 and Profit > 0,Product has demonstrated sales and positive profit margin.,high,No,MEDIUM,0.22,Exact EAN match (title sim=0.22),https://www.efghousewares.co.uk/carriers-bags-cheetah-pk100,https://www.amazon.co.uk/dp/B003TT5WMU
NAIL DRYING SPRAY,Demert Nail Enamel Dryer Manicurist's Finishing Spra - 212g,Title,T3,Not matched,5056239472380.0,,B001GELIBO,400.0,0.8450000000000004,50.5988023952096,6.99,1.12,1.344,2.75,0.56,Available (see Keepa data),Available (see Keepa data),8.0,A,Proven demand: Sales > 0 and Profit > 0,Product has demonstrated sales and positive profit margin.,medium-low,Yes,MEDIUM,0.43,Moderate similarity (0.43) + category match,https://www.efghousewares.co.uk/nail-drying-spray,https://www.amazon.co.uk/dp/B001GELIBO
BLACKSPUR STUBBY SCREWDRIVER SET 2PCE,STANLEY 066358 Multi-Bit Stubby Screwdriver,Title,T3,Not matched,5017403136125.0,,B003KQ5EFM,400.0,0.3950000000000001,28.41726618705037,6.99,0.84,1.008,2.42,1.62,Available (see Keepa data),Available (see Keepa data),18.0,A,Proven demand: Sales > 0 and Profit > 0,Product has demonstrated sales and positive profit margin.,medium-low,Yes,MEDIUM,0.50,Moderate similarity (0.50) + category match,https://www.efghousewares.co.uk/blackspur-stubby-screwdriver-set-2pce-109483,https://www.amazon.co.uk/dp/B003KQ5EFM
PPS PLASTIC 4 CONTAINERS & LID RECT 650ML,"Caterserve 25 Takeaway Plastic Containers With lids 650ml - Microwave and Dishwasher safe - Ideal for Food storage and Meal Prep - BPA free,recyclable,reusable",Title,T3,Not matched,50304811930217.0,5060659231885.0,B0BTZDR9GD,300.0,5.985000000000002,539.1891891891893,14.97,0.56,0.672,3.13,2.25,Available (see Keepa data),Available (see Keepa data),2.0,A,Proven demand: Sales > 0 and Profit > 0,Product has demonstrated sales and positive profit margin.,low,Yes,HIGH,0.31,Low similarity (0.31) but category match - re-check candidate,https://www.efghousewares.co.uk/pps-plastic-4-containers-lid-rect-650ml,https://www.amazon.co.uk/dp/B0BTZDR9GD
PPS PLASTIC SALAD BOWL WHITE 50OZ 5PCS,"MATANA 25 Premium White Plastic Bowls with Gold Rim, 360ml - Elegant, Sturdy & Reusable - Soup & Dessert Bowls for Weddings, Birthdays, BBQ, Buffets, Catering, Parties",Title,T3,Not matched,50304811980793.0,713153940788.0,B07D979WNX,300.0,4.601666666666668,365.21164021164026,13.49,0.71,0.852,3.13,2.25,Available (see Keepa data),Available (see Keepa data),2.0,A,Proven demand: Sales > 0 and Profit > 0,Product has demonstrated sales and positive profit margin.,low,Yes,HIGH,0.28,Low similarity (0.28) but category match - re-check candidate,https://www.efghousewares.co.uk/pps-plastic-salad-bowl-white-50oz-5pcs-106875,https://www.amazon.co.uk/dp/B07D979WNX
HAIR ACCESSORIES SET ON ASSTD COLS.,"Girls Hair Accessories Set, 230 Pieces, Butterfly Hair Clips and Elastic Bands, Pink and Multicolour",Title,T3,Not matched,5050565765314.0,717044161962.0,B0FDWSFV9P,300.0,2.961666666666668,213.06954436450843,8.99,0.84,1.008,2.42,0.72,Available (see Keepa data),,1.0,A,Proven demand: Sales > 0 and Profit > 0,Product has demonstrated sales and positive profit margin.,medium-low,Yes,HIGH,0.46,Moderate similarity (0.46) + category match,https://www.efghousewares.co.uk/hair-accessories-set-on-asstd-cols-120121,https://www.amazon.co.uk/dp/B0FDWSFV9P
PPS PLASTIC DRINK SHOT 30 GLASSES 30ML,100 Plastic Shot Glasses - Multi Use Crystal Clear Hard Plastic Sampling Cups - 30ml - 1 oz,Title,T3,Not matched,5030481960178.0,5060659230123.0,B07T68VD2Y,300.0,2.838333333333333,242.59259259259247,9.79,0.62,0.744,2.65,1.5,Available (see Keepa data),,2.0,A,Proven demand: Sales > 0 and Profit > 0,Product has demonstrated sales and positive profit margin.,low,Yes,HIGH,0.42,Moderate similarity (0.42) only - needs manual verification,https://www.efghousewares.co.uk/pps-plastic-drink-shot-30-glasses-30ml,https://www.amazon.co.uk/dp/B07T68VD2Y
ESSENTIAL PLASTIC 12 GLASSES 1 PINT,"Set of 6 Unbreakable Polycarbonate Plastic Pint Glasses. Capacity (1 pint / 568ml / 20oz). Ideal for bbq's, camping, glamping, boats and general use.. Dishwasher safe.",Title,T3,Not matched,5033298000358.0,5055727805082.0,B00O2F0LT4,300.0,2.7150000000000007,192.55319148936167,9.99,0.86,1.032,2.7,1.5,Available (see Keepa data),Available (see Keepa data),2.0,A,Proven demand: Sales > 0 and Profit > 0,Product has demonstrated sales and positive profit margin.,low,Yes,HIGH,0.30,Low similarity (0.30) but category match - re-check candidate,https://www.efghousewares.co.uk/essential-plastic-12-glasses-1-pint,https://www.amazon.co.uk/dp/B00O2F0LT4
BLACKSPUR DRAUGHT EXCLUDER TAPE TYPE D BLACK 5M,"Weather Stripping Tape, Doors Windows Draught Excluder Self-Adhesive Anti-Collision Rubber D Type Foam Sealing Tape, Rubber Sound Insulation for Door Window Draught Stopper (Black-10m)",Title,T3,Not matched,5017403137900.0,,B0BJ73QJQM,300.0,1.7950000000000002,129.136690647482,6.99,0.84,1.008,1.73,0.91,Available (see Keepa data),,1.0,A,Proven demand: Sales > 0 and Profit > 0,Product has demonstrated sales and positive profit margin.,low,Yes,MEDIUM,0.34,Low similarity (0.34) but category match - re-check candidate,https://www.efghousewares.co.uk/blackspur-draught-excluder-tape-type-d-black-5m-109456,https://www.amazon.co.uk/dp/B0BJ73QJQM
PPS FOIL 4 CONTAINERS & LID RECT 260X190X63MM,"50 x Aluminium Foil Food Trays Small Portions (No 1) 5"" x 4"" Containers Including Lids Perfect for Storage Freezing Roasting BBQ Meal Prep Takeaway",Title,T3,Not matched,50304811930187.0,,B0BNHYV135,300.0,1.3775000000000004,60.15283842794762,8.58,1.74,2.088,2.41,1.0725,,,,A,Proven demand: Sales > 0 and Profit > 0,Product has demonstrated sales and positive profit margin.,low,Yes,MEDIUM,0.31,Low similarity (0.31) but category match - re-check candidate,https://www.efghousewares.co.uk/pps-foil-4-containers-lid-rect-260x190x63mm,https://www.amazon.co.uk/dp/B0BNHYV135
PPS SINGLE WALL CUP WHITE 8OZ 50 PIECES,"FOOGO Green 100pcs 8oz Disposable Strong Single-Wall White Paper Coffee Cups, FSC® Certified, Fully Compostable, Takeaway, Paper Cups for Hot Drinks, Parties, Eco-Friendly",Title,T3,Not matched,5030481970702.0,5060737606161.0,B0CV2JVDHV,300.0,1.0816666666666677,63.62745098039222,8.99,1.15,1.38,3.36,1.35,Available (see Keepa data),,1.0,A,Proven demand: Sales > 0 and Profit > 0,Product has demonstrated sales and positive profit margin.,low,Yes,MEDIUM,0.30,Low similarity (0.30) but category match - re-check candidate,https://www.efghousewares.co.uk/pps-single-wall-cup-white-8oz-50-pieces-123582,https://www.amazon.co.uk/dp/B0CV2JVDHV
DOUBLE ENDED BAMBOO COTTON BUDS 200PC,"600 Bamboo Cotton Buds, Cotton Wooden Ear Swabs for Makeup Cleaning, 100% Biodegradable, Eco Friendly",Title,T3,Not matched,5050565784056.0,,B0BQHYLKT1,300.0,0.6383333333333343,45.92326139088736,4.99,0.84,1.008,1.73,0.4,Available (see Keepa data),,1.0,A,Proven demand: Sales > 0 and Profit > 0,Product has demonstrated sales and positive profit margin.,low,Yes,MEDIUM,0.34,Low similarity (0.34) but category match - re-check candidate,https://www.efghousewares.co.uk/double-ended-bamboo-cotton-buds-200pc-120141,https://www.amazon.co.uk/dp/B0BQHYLKT1
ROADSTER CAR FUSES ASS 24PC 5-40AMP,"JOREST 60Pcs Standard Car Fuse Assorted, Replacement Fuses Assortment Kit for Car RV Truck Motorcycle (2Amp 3A 5A 7.5A 10A 15A 20A 25A 30A 35A 40A) - Blade Fuses Automotive + Auto Fuse Puller",Title,T3,Not matched,5038673815107.0,,B09B521JK9,300.0,0.6283333333333345,45.20383693045572,6.49,0.84,1.008,2.42,0.97,,,1.0,A,Proven demand: Sales > 0 and Profit > 0,Product has demonstrated sales and positive profit margin.,low,Yes,MEDIUM,0.26,Low similarity (0.26) but category match - re-check candidate,https://www.efghousewares.co.uk/roadster-car-fuses-ass-24pc-5-40amp-14-9,https://www.amazon.co.uk/dp/B09B521JK9
SIL HAIRDRESSING CAPE 140X90 ASSORTED,"URAQT Hairdressing Gown Barbers Cape, Hair Cutting Gowns, Fashion Full-Length Waterproof Haircut Hairdressing Cape for Hair Styling, Cuts and Colours, 140x120CM",Title,T3,Not matched,5024418547976.0,6973009411143.0,B08QMPBS1V,300.0,0.1983333333333331,14.268585131894469,4.39,0.84,1.008,1.72,0.35,Available (see Keepa data),,1.0,A,Proven demand: Sales > 0 and Profit > 0,Product has demonstrated sales and positive profit margin.,low,Yes,MEDIUM,0.28,Low similarity (0.28) but category match - re-check candidate,https://www.efghousewares.co.uk/sil-hairdressing-cape-140x90-112683,https://www.amazon.co.uk/dp/B08QMPBS1V
SIL HAIR SCRUNCHIES ASSORTED PACK OF 5,"Hair Scrunchies for Women - Pack of 8 Satin Scrunchies - Softer Than Silk Hair Ties - No Crease, No Damage, Frizz-free - Gentle on All Hair Types - Perfect for Day & Night - Thoughtful Choice for Her",Title,T3,Not matched,5024418550778.0,,B0G3877Q25,300.0,0.0745833333333335,5.365707434052774,5.47,0.84,1.008,2.41,0.68375,,,,A,Proven demand: Sales > 0 and Profit > 0,Product has demonstrated sales and positive profit margin.,low,Yes,MEDIUM,0.25,Low similarity (0.25) but category match - re-check candidate,https://www.efghousewares.co.uk/sil-hair-scrunchies-assorted-pack-of-5-126799,https://www.amazon.co.uk/dp/B0G3877Q25
STATUS DIMMABLE LED GU10 PEARL D/LIGHT 5W 50W,"6 Pack GU10 LED Spot Bulbs Dimmable 5W, Replacement 50W Halogen Spotlight Bulb, Warm White 2700K, AC 220-240V, 120°Beam Angle, Energy Saving, MR16 Reflector Bulb for Hallway, Ceiling Spotlight",Title,T3,Not matched,5022822219663.0,,B0F1TGYSZ4,200.0,4.738333333333332,193.4013605442176,13.99,1.9,2.28,2.65,1.82,Available (see Keepa data),,2.0,A,Proven demand: Sales > 0 and Profit > 0,Product has demonstrated sales and positive profit margin.,low,Yes,HIGH,0.26,Low similarity (0.26) but category match - re-check candidate,https://www.efghousewares.co.uk/status-dimmable-led-gu10-pearl-d-light-5w-50w,https://www.amazon.co.uk/dp/B0F1TGYSZ4
GLAMOUR STUDIO 10 PACK HAIR  CLIPS - 3 ASSORTED COLOURS,"Funtopia 120 Pcs 2 Inch Hair Clips for Girls - Non Slip Metal Snap Barrettes for Kids, Teens, Women - Cute Candy Color Hair Accessories (40 Assorted Colors)",Title,T3,Not matched,5050565398673.0,769638447242.0,B089K3WZYZ,200.0,4.405000000000002,316.906474820144,9.99,0.84,1.008,1.73,0.8,Available (see Keepa data),,1.0,A,Proven demand: Sales > 0 and Profit > 0,Product has demonstrated sales and positive profit margin.,medium-low,Yes,HIGH,0.35,Moderate similarity (0.35) + category match,https://www.efghousewares.co.uk/glamour-studio-10-pack-hair-clips-3-assorted-colours-120129,https://www.amazon.co.uk/dp/B089K3WZYZ
PPS FOIL FLAN 5 DISHES ROUND LARGE,20 Aluminium Foil Trays with Paper Lids – Round Foil Flan Dishes – Durable and Food Grade Tin Pie Cases – Oven and Freezer Safe – Baking Trays Containers - 9 inch-23cm,Title,T3,Not matched,5030481930669.0,5060659231021.0,B08G1Y82GN,200.0,3.823333333333333,313.38797814207646,11.98,0.67,0.804,3.14,1.8,Available (see Keepa data),,2.0,A,Proven demand: Sales > 0 and Profit > 0,Product has demonstrated sales and positive profit margin.,low,Yes,HIGH,0.30,Low similarity (0.30) but category match - re-check candidate,https://www.efghousewares.co.uk/pps-foil-flan-5-dishes-round-large,https://www.amazon.co.uk/dp/B08G1Y82GN
FALSE NAILS W/GLUE FRENCH,240Pcs French Tip False Nails - Short Press On Nails with White Tip for Women Girls - 15 Sizes Full Cover Stick & Glue On Reusable Square Fake Nails - French Manicure Decorations,Title,T3,Not matched,5025572017596.0,,B0DYN9KJP6,200.0,3.7150000000000016,267.2661870503598,9.99,0.84,1.008,2.42,0.8,,,1.0,A,Proven demand: Sales > 0 and Profit > 0,Product has demonstrated sales and positive profit margin.,low,Yes,HIGH,0.26,Low similarity (0.26) but category match - re-check candidate,https://www.efghousewares.co.uk/false-nails-w/glue-french-108764,https://www.amazon.co.uk/dp/B0DYN9KJP6
STATUS LED G9 2W LED CAPSULE BULB EACH,"G9 LED Bulbs 2W Warm White 2700K, 320LM Energy Saving Light Bulbs Equivalent to 28W Halogen, No Flicker Capsule GU9 LED Bulb for Home Lighting Decor, Chandelier, Not Dimmable, 220-240V, 4 Pack",Title,T3,Not matched,5022822226623.0,,B0F66QFGSX,200.0,3.0183333333333326,201.2222222222222,8.59,0.95,1.14,1.52,1.12,Available (see Keepa data),,1.0,A,Proven demand: Sales > 0 and Profit > 0,Product has demonstrated sales and positive profit margin.,low,Yes,HIGH,0.25,Low similarity (0.25) but category match - re-check candidate,https://www.efghousewares.co.uk/status-led-g9-2w-led-capsule-bulb-each,https://www.amazon.co.uk/dp/B0F66QFGSX
PPS DRINK CUPS RIPPLE 4OZ ESPRESSO PACK OF 25 (NO LIDS),Disposable Paper Hot Coffee Tea Drinking Espresso Cups 4oz - 118ml (100 Pack),Title,T3,Not matched,5030481970580.0,5060659230147.0,B07XTPDF3T,200.0,2.8483333333333336,226.05820105820104,9.97,0.71,0.852,2.7,1.5,Available (see Keepa data),Available (see Keepa data),2.0,A,Proven demand: Sales > 0 and Profit > 0,Product has demonstrated sales and positive profit margin.,medium-low,Yes,HIGH,0.37,Moderate similarity (0.37) + category match,https://www.efghousewares.co.uk/pps-drink-cups-ripple-4oz-espresso-pack-of-25-no-lids-118853,https://www.amazon.co.uk/dp/B07XTPDF3T
LIFETIME HAIR CLIPS 12PC ASSORTED,"12pcs Clip with Safety Pins, 10-Teeth Hair Extension Snap Clip to Secure Setting Clips for Girls, Women's Headscarf & Hijab",Title,T3,Not matched,8711252190112.0,,B0CKHK43KF,200.0,2.585000000000001,211.88524590163937,6.99,0.67,0.804,1.46,0.56,Available (see Keepa data),,1.0,A,Proven demand: Sales > 0 and Profit > 0,Product has demonstrated sales and positive profit margin.,low,Yes,HIGH,0.30,Low similarity (0.30) but category match - re-check candidate,https://www.efghousewares.co.uk/lifetime-hair-clipts-mt-12pc-assorted-116152,https://www.amazon.co.uk/dp/B0CKHK43KF
STATUS LED R80 SPOT BULB W/W 60w EACH,"paul russells E27 Spotlight 10W LED Reflector R80 Light Edison Screw, 60w Equivalent Bulb, 940 Lumen, 2700K Warm White, Frosted 120° Beam Angle ES Energy Saving Non-Dimmable Lightbulbs, 3 Pack",Title,T3,Not matched,5022822215580.0,5060588414106.0,B07FS5W6JY,200.0,2.518333333333333,70.54154995331466,12.49,3.02,3.624,2.7,1.62,Available (see Keepa data),Available (see Keepa data),2.0,A,Proven demand: Sales > 0 and Profit > 0,Product has demonstrated sales and positive profit margin.,low,Yes,HIGH,0.26,Low similarity (0.26) but category match - re-check candidate,https://www.efghousewares.co.uk/status-led-r80-spot-bulb-w/w-60w-each-104598,https://www.amazon.co.uk/dp/B07FS5W6JY
AMTECH UTILITY SAFETY KNIFE *SPECIAL*,"Amtech - 2-in-1 Craft Knife and Folding Utility Knife, Durable and Rust-Proof Stainless Steel, Comfortable Handle for Reduced Hand Fatigue, Lightweight and Portable (Includes 5 SK5 Blades)",Title,T3,Not matched,5032759050239.0,5032759045396.0,B01LZPI9GR,200.0,2.3016666666666685,109.08372827804114,9.71,1.56,1.872,2.42,1.26,,,1.0,A,Proven demand: Sales > 0 and Profit > 0,Product has demonstrated sales and positive profit margin.,low,Yes,HIGH,0.26,Low similarity (0.26) but brand+category match - re-check candidate,https://www.efghousewares.co.uk/amtech-utility-safety-knife-special-,https://www.amazon.co.uk/dp/B01LZPI9GR
PPS FOIL 2 GASTRO CONTAINERS RECTANGULAR,"Large Aluminium Foil Trays Food Large Container with lids Oven BBQ Takeaway Roasting Freezing Storing (No 9) 9"" x 9"" x 2"" (20)",Title,T3,Not matched,5030481930683.0,5065010529182.0,B0B4B7W99Q,200.0,1.8033333333333343,65.33816425120777,11.92,2.21,2.652,3.58,1.79,Available (see Keepa data),,1.0,A,Proven demand: Sales > 0 and Profit > 0,Product has demonstrated sales and positive profit margin.,low,Yes,MEDIUM,0.33,Low similarity (0.33) but category match - re-check candidate,https://www.efghousewares.co.uk/pps-foil-2-gastro-containers-rectangular,https://www.amazon.co.uk/dp/B0B4B7W99Q
FOOT EXFOLIATING FILE ON TIE COLOURS.,10 Lamarque Disposable foot file 18cm ROUGH DRY SKIN CALLUS DOUBLE SIDED,Title,T3,Not matched,5050565757753.0,773490597489.0,B00C09WOT4,200.0,1.613333333333334,116.06714628297364,5.98,0.84,1.008,1.5,0.48,Available (see Keepa data),Available (see Keepa data),3.0,A,Proven demand: Sales > 0 and Profit > 0,Product has demonstrated sales and positive profit margin.,low,Yes,MEDIUM,0.30,Low similarity (0.30) but category match - re-check candidate,https://www.efghousewares.co.uk/foot-exfoliating-file-on-tie-colours-120107,https://www.amazon.co.uk/dp/B00C09WOT4
BEAUTY HAIR GRIP ROLLERS 5 PACK,42 pcs x 15mm Small Self Grip Hair Rollers Salon Hairdressing Curlers - By Beauty Care,Title,T3,Not matched,5014749160333.0,5014749165598.0,B01MZARJ6G,200.0,1.3466666666666665,96.88249400479614,7.16,0.84,1.008,2.67,0.56,,,2.0,A,Proven demand: Sales > 0 and Profit > 0,Product has demonstrated sales and positive profit margin.,low,Yes,MEDIUM,0.31,Low similarity (0.31) but category match - re-check candidate,https://www.efghousewares.co.uk/beauty-velcro-hair-rollers-5pk,https://www.amazon.co.uk/dp/B01MZARJ6G
PAN AROMA INCENSE STICKS & HOLDER SANDALWOOD PACK OF 40,"Satya Nag Champa Sandalwood Incense Sticks | x3 pack | with SAMASIA incense sticks holder | Used for Aromatherapy, Spa, Yoga, Weddings, Meditation, Healing, Positivity and Relaxation",Title,T3,Not matched,5053249277462.0,5060909060814.0,B096GFBN1J,200.0,0.6083333333333345,41.95402298850583,4.99,0.9,1.08,1.7,0.4,Available (see Keepa data),,1.0,A,Proven demand: Sales > 0 and Profit > 0,Product has demonstrated sales and positive profit margin.,low,Yes,MEDIUM,0.32,Low similarity (0.32) but category match - re-check candidate,https://www.efghousewares.co.uk/pan-aroma-incense-sticks-holder-sandalwood-pack-of-40-119998,https://www.amazon.co.uk/dp/B096GFBN1J
WAX WORKS PILLAR CANDLE 30 HOURS,"Ivyline S0073201037 Spaas Unscented Pillar Candle, ± 90 Hours, Ivory, 78mm Diameter, 200mm Height",Title,T3,Not matched,5053249220048.0,,B008BI92EI,200.0,0.3833333333333338,26.436781609195435,6.46,0.9,1.08,3.04,0.51,,,1.0,A,Proven demand: Sales > 0 and Profit > 0,Product has demonstrated sales and positive profit margin.,medium-low,Yes,MEDIUM,0.41,Moderate similarity (0.41) + category match,https://www.efghousewares.co.uk/wax-works-pillar-candle-30-hours-10-12,https://www.amazon.co.uk/dp/B008BI92EI
151 HARD AS NAILS CARTRIDGE 310ML,3 X CARTRIDGES HARD AS NAILS INTERIOR NO MORE NAILS SOLVENT FREE ADHESIVE,EAN,T1,Confirmed,5013748039145.0,5013748039145.0,B01MTAVOC1,200.0,0.1483333333333332,8.882235528942108,7.09,1.12,1.344,3.17,0.92,,,12.0,A,Proven demand: Sales > 0 and Profit > 0,Product has demonstrated sales and positive profit margin.,high,No,MEDIUM,0.40,Exact EAN match (title sim=0.40),https://www.efghousewares.co.uk/151-cartridge-hard-as-nails-310-ml-27-5,https://www.amazon.co.uk/dp/B01MTAVOC1
151 PAINT SPRAY 400ML METALLIC GOLD,3 x Gold Spray Paint,EAN,T1,Confirmed,5053249219769.0,5053249219769.0,B07BQ3ZQGG,200.0,0.0383333333333324,1.527224435590934,8.11,1.96,2.352,3.15,1.06,,Available (see Keepa data),9.0,A,Proven demand: Sales > 0 and Profit > 0,Product has demonstrated sales and positive profit margin.,high,No,MEDIUM,0.33,Exact EAN match (title sim=0.33),https://www.efghousewares.co.uk/151-paint-spray-400ml-metallic-gold-104073,https://www.amazon.co.uk/dp/B07BQ3ZQGG
BOWL GLASS 160X140X20MM FISH,"Amtra Crystal Globe - Fishbowl in transparent glass, Goldfish Aquarium, hand blown, 30 CM",Title,T3,Not matched,8721037386548.0,,B0185IRSU8,100.0,14.43958333333333,925.614316239316,25.99,1.01,1.212,2.41,3.24875,,,,A,Proven demand: Sales > 0 and Profit > 0,Product has demonstrated sales and positive profit margin.,low,Yes,HIGH,0.27,Low similarity (0.27) but category match - re-check candidate,https://www.efghousewares.co.uk/bowl-glass-160x140x20mm-fish-119486,https://www.amazon.co.uk/dp/B0185IRSU8
TIDYZ DOGGY BAGS STRONG 50 PCS 30cm x 36cm,"Beco Dog Poo Bags - Strong, Leakproof & Large - 100% Recycled Plastic, Extra Thick Dog Poop Bags, Heavy Duty - Mint Scented Refill Rolls, 540 Count",Title,T3,Not matched,5025364001970.0,,B0FKBZPHMH,100.0,11.560416666666669,1041.478978978979,21.29,0.56,0.672,2.41,2.66125,,,,A,Proven demand: Sales > 0 and Profit > 0,Product has demonstrated sales and positive profit margin.,low,Yes,HIGH,0.28,Low similarity (0.28) but category match - re-check candidate,https://www.efghousewares.co.uk/tidyz-50-doggy-bags-xl-extra-strong,https://www.amazon.co.uk/dp/B0FKBZPHMH
MAXIFRESH GLASS AIRTIGHT FOOD STORAGE CONTAINER SQUARE 520ML,"Igluu Meal Prep Square Glass Containers with Lids (3 Pack) – Airtight & BPA-Free – Oven, Microwave, Freezer and Dishwasher Safe – 320ml, 520ml, 800ml – Durable Borosilicate Glass",Title,T3,Not matched,742288760329.0,5060793190260.0,B08WJHTSQ1,100.0,8.658333333333331,399.0015360983102,20.95,1.62,1.944,3.49,3.14,Available (see Keepa data),,2.0,A,Proven demand: Sales > 0 and Profit > 0,Product has demonstrated sales and positive profit margin.,medium-low,Yes,HIGH,0.36,Moderate similarity (0.36) + category match,https://www.efghousewares.co.uk/pyronex-vented-storage-jar-square-500ml-10-12,https://www.amazon.co.uk/dp/B08WJHTSQ1
AMTECH RECHARGEABLE WORK LIGHT WITH MAGNETIC STAND 3W,Inspection Lamp 2000 Lumen 2 Pack Rechargeable LED Work Light with Magnetic and Foldable 180° Rotating Stand and Magnetic Torch for Maintenance Work Night Walking Camping Emergency,Title,T3,Not matched,5032759051380.0,,B0F5WLK92T,100.0,8.138333333333332,182.06562266964949,22.99,3.92,4.704,3.1,3.45,Available (see Keepa data),,1.0,A,Proven demand: Sales > 0 and Profit > 0,Product has demonstrated sales and positive profit margin.,low,Yes,HIGH,0.43,Moderate similarity (0.43) only - needs manual verification,https://www.efghousewares.co.uk/amtech-rechargeable-work-light-with-magnetic-stand-3w-119149,https://www.amazon.co.uk/dp/B0F5WLK92T
