SupplierTitle,AmazonTitle,EAN,EAN_OnPage,ASIN,SupplierPrice_incVAT,SellingPrice_incVAT,NetProfit,ROI,bought_in_past_month,amazon_sales_badge,sales_value,tier,confidence_score,flags,reasons,ean_exact_match,SupplierURL,AmazonURL,fba_seller_count,Category,Bucket,Unit_Qty_Flag,Unit_Qty_Note,FinReport_NetProfit,Profit_Discrepancy
PYREX GLASS LOAF DISH 28CM,Pyrex Bake & Enjoy Glass Loaf Dish High Resistance 28 Cm,3137610000872,,B000UOCXVA,4.632,8.48,0.628333333,-18.44293273,200,200,200,TIER_2_LIKELY,45,"AMAZON_EAN_MISSING,UNPROFITABLE","Supplier EAN present, Amazon EAN missing,Strong title match (sim=0.64, shared=4),Brand match: pyrex",FALSE,https://www.efghousewares.co.uk/pyrex-glass-loaf-dish-28cm-117733,https://www.amazon.co.uk/dp/B000UOCXVA,,Pyrex Glass Loaf Dish 28Cm 117733,C,MATCH,,,NO
WORK OF ART ACRYLIC PAINT BLACK 120ML,"Work of Art 120ml Acrylic Paint - Black, 6722",5013922067223,5013922067223,B00PRI7N82,0.852,3.79,0.628333333,-67.59259259,200,200,200,TIER_1_VERIFIED,95,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.82, shared=6),Brand match: work",TRUE,https://www.efghousewares.co.uk/work-of-art-acrylic-paint-black-120ml,https://www.amazon.co.uk/dp/B00PRI7N82,Available (see Keepa data),Work Of Art Acrylic Paint Black 120Ml,C,MATCH,,,NO
LOCTITE PRECISION SUPERGLUE MAX 10G,"Loctite Precision Max, Strong All Purpose Liquid Adhesive, Accurate Repairs, Instant Super Glue for Various Materials, Easy to Use Clear Glue, 1 x 10g",5010305061229,5010305061229,B001C0G1X2,2.892,5.12,0.628333333,-32.88288288,200,200,200,TIER_1_VERIFIED,80,UNPROFITABLE,"Exact EAN match (checksum verified),Moderate title match (sim=0.39, shared=4),Brand match: loctite",TRUE,https://www.efghousewares.co.uk/loctite-precision-superglue-max-10g,https://www.amazon.co.uk/dp/B001C0G1X2,Available (see Keepa data),Loctite Precision Superglue Max 10G,C,MATCH,,,NO
TIGER CLEAR PENCIL CASE 8X5INCH,Tiger Pencil case - Clear See Through - Short 20x12.5cm x 1 Single,5016873007942,5016873007942,B002PMKV9G,0.708,2.49,0.628333333,-85.52631579,200,200,200,TIER_1_VERIFIED,80,UNPROFITABLE,"Exact EAN match (checksum verified),Moderate title match (sim=0.47, shared=4),Brand match: tiger",TRUE,https://www.efghousewares.co.uk/tiger-clear-pencil-case-8x5inch,https://www.amazon.co.uk/dp/B002PMKV9G,,Tiger Clear Pencil Case 8X5Inch,C,MATCH,,,NO
O'KEEFFE'S LIP REPAIR COOLING STICK 4.2G,O'Keeffe's Lip Repair Cooling 4.3g,5704947003425,,B01HWIEILY,3.36,5,0.628333333,-30.84577114,200,200,200,TIER_2_LIKELY,45,"AMAZON_EAN_MISSING,UNPROFITABLE","Supplier EAN present, Amazon EAN missing,Strong title match (sim=0.88, shared=4),Brand match: o'keeffe's",FALSE,https://www.efghousewares.co.uk/okeeffes-lip-repair-cooling-stick-4-2g,https://www.amazon.co.uk/dp/B01HWIEILY,Available (see Keepa data),Okeeffes Lip Repair Cooling Stick 4 2G,C,MATCH,,,NO
ARTBOX A4 TRACING PAPER 60SHEETS,Artbox A4 tracing paper - 60 sheets,5013922050690,5013922050690,B004KRB7TM,0.804,2.81,0.628333333,-85.92896175,200,200,200,TIER_1_VERIFIED,80,UNPROFITABLE,"Exact EAN match (checksum verified),Moderate title match (sim=0.97, shared=3),Brand match: artbox",TRUE,https://www.efghousewares.co.uk/artbox-a4-tracing-paper-60sheets,https://www.amazon.co.uk/dp/B004KRB7TM,Available (see Keepa data),Artbox A4 Tracing Paper 60Sheets,C,MATCH,,,NO
151 LOVE YOUR WOOD FURNITURE MARKERS ASSORTED PACK OF 3,Furniture Touch Up Markers,5050375047105,5050375047105,B01L8GLZ5I,1.14,3.1,0.628333333,-72.44444444,200,200,200,TIER_1_VERIFIED,40,"BRAND_MISMATCH,UNPROFITABLE","Exact EAN match (checksum verified),Weak title match (sim=0.42, shared=2)",TRUE,https://www.efghousewares.co.uk/love-your-wood-furniture-marker-16-11,https://www.amazon.co.uk/dp/B01L8GLZ5I,Available (see Keepa data),Love Your Wood Furniture Marker 16 11,C,UNCLEAR,Supplier qty PACK OF 3 exceeds Amazon qty 1; manual review advised.,,NO
FIT FOR THE JOB MASONRY/EXTERIOR BLOCK BRUSH,"Fit For The Job 4 inch Block Brush, Masonry Brush for Rapid Painting with Smooth & Textured Masonry Paints on Brick, Breeze Block, Render, Pebbledash & More, Large Paintbrush",5019200122677,5019200122677,B0071QMXOW,3.156,6.48,0.628333333,-34.59119497,200,200,200,TIER_1_VERIFIED,60,UNPROFITABLE,"Exact EAN match (checksum verified),Weak title match (sim=0.28, shared=5),Brand match: fit",TRUE,https://www.efghousewares.co.uk/fit-for-the-job-masonry-exterior-block-brush,https://www.amazon.co.uk/dp/B0071QMXOW,,Fit For The Job Masonry Exterior Block Brush,C,MATCH,,,NO
BRUMMER WOODFILLER BLACK 250G,Brummer Wood Filler Black 250g – 2 Sizes & Assorted Shades | Ideal for DIY Wood Repairs & Restorations,5010884000596,5010884000596,B0CMX1M8VG,4.416,8.25,0.628333333,-26.12293144,200,200,200,TIER_1_VERIFIED,80,UNPROFITABLE,"Exact EAN match (checksum verified),Moderate title match (sim=0.46, shared=3),Brand match: brummer",TRUE,https://www.efghousewares.co.uk/brummer-woodfiller-black-250g-117885,https://www.amazon.co.uk/dp/B0CMX1M8VG,,Brummer Woodfiller Black 250G 117885,C,MATCH,,,NO
FIRST STEPS BOTTLE BRUSH ASS,"RSW 1 Bottle and Teat Brush, 2 Brushes in 1, Ideal for Cleaning Training Cups, Wide Neck Bottles, Lids, Valves, Baby, 2 in",5015302105747,5015302105747,B094JVKC6G,1.056,3.89,0.628333333,-81.7016317,200,200,200,TIER_1_VERIFIED,40,"BRAND_MISMATCH,UNPROFITABLE","Exact EAN match (checksum verified),Weak title match (sim=0.28, shared=2)",TRUE,https://www.efghousewares.co.uk/first-steps-bottle-brush-ass,https://www.amazon.co.uk/dp/B094JVKC6G,Available (see Keepa data),First Steps Bottle Brush Ass,C,MATCH,,,NO
JUST STATIONERY WHITE CARD A4 30 SHEETS,Just Stationery 5095 A4 30 Sheet White Card,5013922050959,5013922050959,B00F899IOM,0.9,2.96,0.628333333,-91.79487179,200,200,200,TIER_1_VERIFIED,95,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.68, shared=4),Brand match: just",TRUE,https://www.efghousewares.co.uk/just-stationery-white-card-a4-30-sheets,https://www.amazon.co.uk/dp/B00F899IOM,Available (see Keepa data),Just Stationery White Card A4 30 Sheets,C,MATCH,,,NO
MASTERPLAST RUB ORIENTAL BALM X,Masterplast Oriental Balm Muscle Relaxation and Comfort 36g,5053249227641,5053249227641,B07SS34BQ7,1.14,3.48,0.628333333,-84.66666667,200,200,200,TIER_1_VERIFIED,80,UNPROFITABLE,"Exact EAN match (checksum verified),Moderate title match (sim=0.60, shared=3),Brand match: masterplast",TRUE,https://www.efghousewares.co.uk/masterplast-rub-oriental-balm-xl-36g-4-12,https://www.amazon.co.uk/dp/B07SS34BQ7,,Masterplast Rub Oriental Balm Xl 36G 4 12,C,MATCH,,,NO
PRODEC FLEXIBLE MIXING BOWL,"ProDec 500ml Flexible Mixing Bowl, Ideal for Mixing Powder Filler, Grout, Plaster, Adhesive, Paint - Durable, Easy Clean Flexible Material with Flat Bottom for Up to 3 inch Filling Knife",5019200323227,5019200323227,B0BPY53KYB,2.676,5.96,0.628333333,-46.16306954,200,200,200,TIER_1_VERIFIED,60,UNPROFITABLE,"Exact EAN match (checksum verified),Weak title match (sim=0.26, shared=4),Brand match: prodec",TRUE,https://www.efghousewares.co.uk/prodec-flexible-mixing-bowl-113477,https://www.amazon.co.uk/dp/B0BPY53KYB,,Prodec Flexible Mixing Bowl 113477,C,MATCH,,,NO
KINGFISHER OUTSIDE TAP COVER,Kingfisher Outside Tap Cover Frost Protector 'Packaging may vary',5013478143372,5013478143372,B00FK08BWO,2.004,5.65,0.628333333,-58.63363363,200,200,200,TIER_1_VERIFIED,95,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.62, shared=4),Brand match: kingfisher",TRUE,https://www.efghousewares.co.uk/kingfisher-outside-tap-cover,https://www.amazon.co.uk/dp/B00FK08BWO,,Kingfisher Outside Tap Cover,C,MATCH,,,NO
BG CO-AX POINT BRUSHED CHROME,BG Electrical Single Co-Axial Socket,5050765019033,5050765019033,B007CVCUNA,3.8736,5.8,0.628333333,-36.12140462,200,200,200,TIER_1_VERIFIED,60,UNPROFITABLE,"Exact EAN match (checksum verified),Weak title match (sim=0.32, shared=0),Brand match: bg",TRUE,https://www.efghousewares.co.uk/bg-co-ax-point-b-chrome,https://www.amazon.co.uk/dp/B007CVCUNA,,Other,C,MATCH,,,NO
ALLIGATOR STICKER BURST PAW PATROL,"ALLIGATOR - Paw Patrol Sticker Activity Book, Reusable Stickers",9781788244367,9781788244367,1788244362,2.82,4.5,0.628333333,-47.5862069,200,200,200,TIER_1_VERIFIED,80,UNPROFITABLE,"Exact EAN match (checksum verified),Moderate title match (sim=0.44, shared=4),Brand match: alligator",TRUE,https://www.efghousewares.co.uk/alligator-sticker-burst-paw-patrol-117445,https://www.amazon.co.uk/dp/1788244362,Available (see Keepa data),Alligator Sticker Burst Paw Patrol 117445,C,MATCH,,,NO
RUSTINS SMALL JOB GLOSS 250ML WHITE,RUSTINS Small Job Gloss Paint White 250ml,5015332001897,5015332001897,B01LY5MKWN,4.632,8.04,0.628333333,-32.65306122,200,200,200,TIER_1_VERIFIED,95,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.79, shared=6),Brand match: rustins",TRUE,https://www.efghousewares.co.uk/rustins-small-job-gloss-250ml-white,https://www.amazon.co.uk/dp/B01LY5MKWN,,Rustins Small Job Gloss 250Ml White,C,MATCH,,,NO
LORD SHERATON LEATHER SHINE,Lord Sheraton Leather Shine 300ml,5000325029514,,B00FU4WE5A,3.024,5.99,0.628333333,-52.38870793,200,200,200,TIER_2_LIKELY,45,"AMAZON_EAN_MISSING,UNPROFITABLE","Supplier EAN present, Amazon EAN missing,Strong title match (sim=0.90, shared=4),Brand match: lord",FALSE,https://www.efghousewares.co.uk/lord-sheraton-leather-shine,https://www.amazon.co.uk/dp/B00FU4WE5A,,Lord Sheraton Leather Shine,C,MATCH,,,NO
SOUDAL GLASS & MIRROR CLEANER,SOUDAL Glass & Mirror Cleaner 1l,5411183083097,5411183083097,B075GW9HGY,3.288,6.69,0.628333333,-49.69604863,200,200,200,TIER_1_VERIFIED,95,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.95, shared=4),Brand match: soudal",TRUE,https://www.efghousewares.co.uk/soudal-glass-mirror-cleaner,https://www.amazon.co.uk/dp/B075GW9HGY,Available (see Keepa data),Soudal Glass Mirror Cleaner,C,MATCH,,,NO
EXTRA SELECT FISH FOOD BLEND BUCKET 5L,"Extra Select Complete Fish Food Blend Tub, 5 Litre",5022245006710,,B00X5D4SE8,6.708,9.69,0.628333333,-27.46335505,200,200,200,TIER_2_LIKELY,45,"AMAZON_EAN_MISSING,UNPROFITABLE","Supplier EAN present, Amazon EAN missing,Strong title match (sim=0.76, shared=5),Brand match: extra",FALSE,https://www.efghousewares.co.uk/extra-select-fish-food-blend-bucket-5l-115001,https://www.amazon.co.uk/dp/B00X5D4SE8,,Extra Select Fish Food Blend Bucket 5L 115001,C,MATCH,,,NO
BG 45A SWITCH C/W SOCKET & NEON BRUSHED CHROME,"BG Electrical Cooker Switch with Socket and LED, Cooker Control Unit, Control Socket, Double Pole, Raised Profile, Round Edges, Nexus Metal, Brushed Steel, Grey Inserts, 45A, NBS70G",5050765019002,5050765019002,B004TRR0MG,10.956,14.78,0.628333333,-17.59641873,200,200,200,TIER_1_VERIFIED,60,UNPROFITABLE,"Exact EAN match (checksum verified),Weak title match (sim=0.33, shared=4),Brand match: bg",TRUE,https://www.efghousewares.co.uk/bg-45a-switch-c-w-socket-neon-b-chrome,https://www.amazon.co.uk/dp/B004TRR0MG,,Bg 45A Switch C W Socket Neon B Chrome,C,MATCH,,,NO
HG LAMINATE GLOSS CLEANER (SOLD EACH),HG laminate cleaner shine restorer (product 73) 1L,8711577009410,8711577009410,B000IU3W1G,7.932,12.06,0.628333333,-24.16201117,200,200,200,TIER_1_VERIFIED,60,UNPROFITABLE,"Exact EAN match (checksum verified),Weak title match (sim=0.55, shared=2),Brand match: hg",TRUE,https://www.efghousewares.co.uk/hg-laminate-gloss-cleaner,https://www.amazon.co.uk/dp/B000IU3W1G,,Hg Laminate Gloss Cleaner,C,MATCH,,,NO
CHEF AID STRAINER DIAMETER 18CM,"Chef Aid 18cm Long Handled Metal Sieve, Kitchen Essential Tool and Ideal for Straining, draining, Washing and Wide Range of Foods, with a fine mesh for Ease of use",5012904004188,5012904004188,B000TAU3QW,1.98,4.53,0.628333333,-80.68181818,200,200,200,TIER_1_VERIFIED,60,UNPROFITABLE,"Exact EAN match (checksum verified),Weak title match (sim=0.22, shared=3),Brand match: chef",TRUE,https://www.efghousewares.co.uk/chef-aid-strainer-diameter-18cm,https://www.amazon.co.uk/dp/B000TAU3QW,,Chef Aid Strainer Diameter 18Cm,C,MATCH,,,NO
RUSTINS MASONRY PAINT BLK 250ML,RUSTINS Masonry Paint Matt Black 250ml,5015332001224,5015332001224,B015WDKTQ4,3.9,6.7,0.628333333,-47.01754386,200,200,200,TIER_1_VERIFIED,95,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.90, shared=4),Brand match: rustins",TRUE,https://www.efghousewares.co.uk/rustins-masonry-paint-blk-250ml,https://www.amazon.co.uk/dp/B015WDKTQ4,,Rustins Masonry Paint Blk 250Ml,C,MATCH,,,NO
RUSTINS SMALL JOB CANDY PINK 250ML,RUSTINS Small Job Gloss Paint Candy Pink 250ml,5015332001866,5015332001866,B01M0FN1MI,4.836,7.75,0.628333333,-39.77438137,200,200,200,TIER_1_VERIFIED,95,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.85, shared=6),Brand match: rustins",TRUE,https://www.efghousewares.co.uk/rustins-qd-sml-job-candy-pink-250ml,https://www.amazon.co.uk/dp/B01M0FN1MI,,Rustins Qd Sml Job Candy Pink 250Ml,C,MATCH,,,NO
MASTERPLUG 6 GANG 3M LEAD,"Masterplug Six Socket Extension Lead, 3 Metre Cable, Unswitched, 6-Way Plug Extension Cable, Power Strip, Basic Power, White, 13A, 6G, 3m, BSG3N",5015056353005,5015056353005,B004I5BQ1K,6.252,9.85,0.628333333,-33.18865741,200,200,200,TIER_1_VERIFIED,60,UNPROFITABLE,"Exact EAN match (checksum verified),Weak title match (sim=0.25, shared=2),Brand match: masterplug",TRUE,https://www.efghousewares.co.uk/masterplug-6-gang-3m-lead,https://www.amazon.co.uk/dp/B004I5BQ1K,Available (see Keepa data),Masterplug 6 Gang 3M Lead,C,MATCH,,,NO
ELLIOTT HAND SCRUBING BRUSH WOODEN EFECT,"Elliott Wood Effect Scrubbing Brush, Strong and Durable Scrub Brush with Easy Grip Handle and Synthetic Fibres, Perfect for indoor and outdoor cleaning on hard and soft surfaces",5013159300810,5013159300810,B0017SDAP6,2.004,3.99,0.628333333,-93.01801802,200,200,200,TIER_1_VERIFIED,60,UNPROFITABLE,"Exact EAN match (checksum verified),Weak title match (sim=0.30, shared=2),Brand match: elliott",TRUE,https://www.efghousewares.co.uk/elliott-hand-scrubing-brush-wooden-efect,https://www.amazon.co.uk/dp/B0017SDAP6,Available (see Keepa data),Elliott Hand Scrubing Brush Wooden Efect,C,MATCH,,,NO
PRODEC LOW TACK MASKING TAPE 50MMX50M,"ProDec 2 inch x 50m Low Tack Multi Surface Painters Masking Tape for Delicate Surfaces Gives Sharp Paint Lines for Indoor Painting and Decorating, Compatible with All Paints, 2"" 50mm wide",5019200033508,5019200033508,B00555K9MO,3.288,5.5,0.628333333,-63.12056738,200,200,200,TIER_1_VERIFIED,60,UNPROFITABLE,"Exact EAN match (checksum verified),Weak title match (sim=0.30, shared=5),Brand match: prodec",TRUE,https://www.efghousewares.co.uk/prodec-low-tack-masking-tape-50mmx50m-113701,https://www.amazon.co.uk/dp/B00555K9MO,,Prodec Low Tack Masking Tape 50Mmx50M 113701,C,MATCH,,,NO
DEADFAST MOUSE RAT KILLER 15 SACHETS,"Deadfast 20300393 Mouse and Rat Killer Plus Poison, 15 Sachets - Green",5023377005572,5023377005572,B07FQ58LLH,5.484,7.49,0.628333333,-41.56901042,200,200,200,TIER_1_VERIFIED,95,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.69, shared=5),Brand match: deadfast",TRUE,https://www.efghousewares.co.uk/deadfast-mouse-rat-killer-15-sachets,https://www.amazon.co.uk/dp/B07FQ58LLH,,Deadfast Mouse Rat Killer 15 Sachets,C,MATCH,,,NO
VINERS BARWARE 2 STEP WAITERS FRIEND,"Viners Barware Waiter’s Friend Classic 2-Step Lever Action Corkscrew and Bottle Opener, Black & Silver",5010853268705,5010853268705,B08FXM3QX6,2.376,4,0.628333333,-87.61528327,200,200,200,TIER_1_VERIFIED,80,UNPROFITABLE,"Exact EAN match (checksum verified),Moderate title match (sim=0.43, shared=4),Brand match: viners",TRUE,https://www.efghousewares.co.uk/viners-barware-2-step-waiters-friend,https://www.amazon.co.uk/dp/B08FXM3QX6,,Viners Barware 2 Step Waiters Friend,C,MATCH,,,NO
GORILLA GLUE CLEAR 170ML,Gorilla Glue Clear 170ml,5704947006044,5704947006044,B07KWLFJBF,9.672,12.85,0.628333333,-26.38404955,200,200,200,TIER_1_VERIFIED,95,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=1.00, shared=4),Brand match: gorilla",TRUE,https://www.efghousewares.co.uk/gorilla-glue-clear-170ml,https://www.amazon.co.uk/dp/B07KWLFJBF,Available (see Keepa data),Gorilla Glue Clear 170Ml,C,MATCH,,,NO
PRODEC ALUMINIUM OXIDE 60 GRIT 5M,"ProDec 5m Roll 60 Grit Coarse Grade Yellow Aluminium Oxide Abrasive Sanding Paper for Sanding Wood, Paint, Plaster, Filler, Metal and More, 115mm Wide Sandpaper Compatible with Machine Sanders",5019200182916,5019200182916,B09H3J4FGD,2.94,5.1,0.628333333,-81.66666667,200,200,200,TIER_1_VERIFIED,60,UNPROFITABLE,"Exact EAN match (checksum verified),Weak title match (sim=0.27, shared=4),Brand match: prodec",TRUE,https://www.efghousewares.co.uk/prodec-aluminium-oxide-60-grit-5m,https://www.amazon.co.uk/dp/B09H3J4FGD,,Prodec Aluminium Oxide 60 Grit 5M,C,MATCH,,,NO
HG MICROWAVE CLEANER 500ML (SOLD EACH),HG Microwave Cleaner - Powerful & Safe Grease & Food Deposit Remover for All Microwave & Combi Ovens - Cleans Quickly & Easily - 500ml,8711577091606,8711577091606,B003XR8A72,4.104,6.35,0.628333333,-64.18975651,200,200,200,TIER_1_VERIFIED,60,UNPROFITABLE,"Exact EAN match (checksum verified),Weak title match (sim=0.32, shared=3),Brand match: hg",TRUE,https://www.efghousewares.co.uk/hg-microwave-cleaner-500ml-120937,https://www.amazon.co.uk/dp/B003XR8A72,,Hg Microwave Cleaner 500Ml 120937,C,MATCH,,,NO
RUSTINS QUICK DRY POLY VARNISH MATT CLEAR 500ML,"RustinsQuick Dry Poly Varnish Matt Clear 500ml -Tough, Water-Based Clear Finish in Gloss, Matt or Satin; Durable Protection for Interior Wood, Furniture and Floors",5015332004638,5015332004638,B0CST3SNJW,9.816,12.95,0.628333333,-30.45055365,200,200,200,TIER_1_VERIFIED,60,"BRAND_MISMATCH,UNPROFITABLE","Exact EAN match (checksum verified),Moderate title match (sim=0.45, shared=6)",TRUE,https://www.efghousewares.co.uk/rustins-quick-dry-poly-varnish-matt-clear-500ml-117889,https://www.amazon.co.uk/dp/B0CST3SNJW,,Rustins Quick Dry Poly Varnish Matt Clear 500Ml 117889,C,MATCH,,,NO
RUSTINS QD OUTDOOR CLEAR VARNISH 500ML,Rustins Quick Dry Outdoor Clear Varnish 500ml Satin,5015332711024,,B002HMW0C0,9.072,11.89,0.628333333,-34.42252363,200,200,200,TIER_2_LIKELY,45,"AMAZON_EAN_MISSING,UNPROFITABLE","Supplier EAN present, Amazon EAN missing,Strong title match (sim=0.85, shared=5),Brand match: rustins",FALSE,https://www.efghousewares.co.uk/rustins-qd-outdoor-clear-varnish-500ml,https://www.amazon.co.uk/dp/B002HMW0C0,,Rustins Qd Outdoor Clear Varnish 500Ml,C,MATCH,,,NO
STATUS TWIN USB PLUG THROUGH ADAPTOR 1PK,"STATUS Multi USB Plug Adapter White, 2 Port USB Adaptor Plug Through, S2USBPTAWH1PK3",5022822185197,5022822185197,B00Q8WT870,5.376,6.7,0.628333333,-58.97945659,200,200,200,TIER_1_VERIFIED,80,UNPROFITABLE,"Exact EAN match (checksum verified),Moderate title match (sim=0.52, shared=5),Brand match: status",TRUE,https://www.efghousewares.co.uk/status-twin-usb-plug-through-adaptor-1pk-clam,https://www.amazon.co.uk/dp/B00Q8WT870,,Status Twin Usb Plug Through Adaptor 1Pk Clam,C,MATCH,,,NO
PYREX ESSENTIALS CASSEROLE OVAL 4.1LTR,"Pyrex Oval Casserole with Lid Classic Glass, Transparent, 6.3 cm, 4.0 L",3426470268684,3426470268684,B01LCYXS24,10.548,19.69,0.628333333,6.727337616,100,100,100,TIER_1_VERIFIED,80,,"Exact EAN match (checksum verified),Moderate title match (sim=0.47, shared=3),Brand match: pyrex",TRUE,https://www.efghousewares.co.uk/pyrex-essentials-casserole-oval-3ltr-pm-,https://www.amazon.co.uk/dp/B01LCYXS24,,Pyrex Essentials Casserole Oval 3Ltr Pm ,A,MATCH,,0.21375,NO
GABBYS DOLLHOUSE STICKER BOOK,"ALLIGATOR - Gabby's Dollhouse Sticker Book, Sticker Book, Sticker Books, Gabbys Dollhouse Toys UK, Gabby's Dollhouse Book,Sticker Activity Book, Reusable Sticker Book",9781788245418,9781788245418,1788245415,1.212,4.99,0.628333333,30.02136752,100,100,100,TIER_1_VERIFIED,40,BRAND_MISMATCH,"Exact EAN match (checksum verified),Weak title match (sim=0.31, shared=4)",TRUE,https://www.efghousewares.co.uk/gabbys-dollhouse-sticker-book-117428,https://www.amazon.co.uk/dp/1788245415,Available (see Keepa data),Gabbys Dollhouse Sticker Book 117428,C,MATCH,,,NO
KATS ROMEO CAT LITTER TRAY TOILET HOUSE GREY,"Dogi Click and Secure Pet Cat Litter Tray Toilet Box, Grey",5414886297341,5414886297341,B00P2R81MU,10.608,23,0.628333333,2.094426695,100,100,100,TIER_1_VERIFIED,75,BRAND_MISMATCH,"Exact EAN match (checksum verified),Strong title match (sim=0.65, shared=5)",TRUE,https://www.efghousewares.co.uk/kats-romeo-cat-litter-tray-toilet-house-grey-113411,https://www.amazon.co.uk/dp/B00P2R81MU,,Kats Romeo Cat Litter Tray Toilet House Grey 113411,C,MATCH,,,NO
ESCENTI TEA TREE CREAM,Escenti Tea Tree Cream 28g,5020535013998,5020535013998,B0995W6PHP,1.14,4.12,0.628333333,6.888888889,100,100,100,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.92, shared=4),Brand match: escenti",TRUE,https://www.efghousewares.co.uk/escenti-tea-tree-cream,https://www.amazon.co.uk/dp/B0995W6PHP,Available (see Keepa data),Escenti Tea Tree Cream,C,MATCH,,,NO
ROYALFORD SILICONE EGG WHISK GREY,"Royalford Silicone Balloon Egg Whisk with Beechwood Handle & Hanging Hook – Non-Scratch, Heat-Resistant Whisk for Cooking & Baking, 26cm",6294016430270,6294016430270,B0FVB4Y46L,1.416,6.5,0.628333333,3.275529865,100,100,100,TIER_1_VERIFIED,80,,"Exact EAN match (checksum verified),Moderate title match (sim=0.40, shared=4),Brand match: royalford",TRUE,https://www.efghousewares.co.uk/royalford-silicone-egg-whisk-grey-112831,https://www.amazon.co.uk/dp/B0FVB4Y46L,Available (see Keepa data),Royalford Silicone Egg Whisk Grey 112831,C,MATCH,,,NO
TREAT AND EASE EYE MIST SPRAY,Eye Mist Eyelid Spray for Refreshing Soothing Relief Dry Tired Irritated Itch Sore Eyes 15ml,5056175904327,5056175904327,B093H2DHHF,1.008,3.93,0.628333333,3.956834532,100,100,100,TIER_1_VERIFIED,40,BRAND_MISMATCH,"Exact EAN match (checksum verified),Weak title match (sim=0.23, shared=3)",TRUE,https://www.efghousewares.co.uk/treat-and-ease-eye-mist-spray-106977,https://www.amazon.co.uk/dp/B093H2DHHF,Available (see Keepa data),Treat And Ease Eye Mist Spray 106977,C,MATCH,,,NO
SUPER DREAMER FITTED SHEET KING BLACK,"GC GAVENO CAVAILIA Fitted Sheet King Size (25cm) Deep Pocket - Microfiber Bed Sheets Black - Breathable, Fade & Wrinkle Resistant - Elasticated Corners - Easycare Mattress & Bottom Sheet (152x203cm)",5051346795957,5051346795957,B0BTMNY9RV,3.888,9.49,0.628333333,1.011433597,100,100,100,TIER_1_VERIFIED,40,BRAND_MISMATCH,"Exact EAN match (checksum verified),Weak title match (sim=0.24, shared=4)",TRUE,https://www.efghousewares.co.uk/super-dreamer-fitted-sheet-king-black-123682,https://www.amazon.co.uk/dp/B0BTMNY9RV,,Super Dreamer Fitted Sheet King Black 123682,C,MATCH,,,NO
EUROWRAP TISSUE PAPER GLITTER PINK 6 SHEETS,Eurowrap Pink Glitter Tissue Paper - 6 Sheets,5033601659082,5033601659082,B01NBV45Y6,0.6,3.3,0.628333333,-5.714285714,100,100,100,TIER_1_VERIFIED,95,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.71, shared=6),Brand match: eurowrap",TRUE,https://www.efghousewares.co.uk/eurowrap-tissue-paper-glitter-pink-6-sheets,https://www.amazon.co.uk/dp/B01NBV45Y6,Available (see Keepa data),Eurowrap Tissue Paper Glitter Pink 6 Sheets,C,MATCH,,,NO
LYNX GIFT SET SUNSET FRESH 3PC EACH,"Lynx Sunset Fresh Trio Gift Set with a body spray, a body wash and an anti-perspirant perfect for any occasion 3 piece",8720181651953,8720181651953,B0FG32Q5GB,7.38,14.29,0.628333333,-1.069651741,100,100,100,TIER_1_VERIFIED,60,UNPROFITABLE,"Exact EAN match (checksum verified),Weak title match (sim=0.29, shared=4),Brand match: lynx",TRUE,https://www.efghousewares.co.uk/lynx-gift-set-sunset-fresh-3pc-each-124973,https://www.amazon.co.uk/dp/B0FG32Q5GB,Available (see Keepa data),Lynx Gift Set Sunset Fresh 3Pc Each 124973,C,MATCH,,,NO
ADDIS COMPOST CADDY WHITE 4.5L,"Addis 518252 Everyday Kitchen Food Waste Compost Caddy Bin, 4.5 Litre, White/Metallic Sliver, Silver, 4.5ltr",5010303170602,5010303170602,B07S4CVCMF,3.348,8.74,0.628333333,-6.786427146,100,100,100,TIER_1_VERIFIED,80,UNPROFITABLE,"Exact EAN match (checksum verified),Moderate title match (sim=0.45, shared=4),Brand match: addis",TRUE,https://www.efghousewares.co.uk/addis-new-compost-caddy-white-grey,https://www.amazon.co.uk/dp/B07S4CVCMF,,Addis New Compost Caddy White Grey,C,MATCH,,,NO
